task,condition,rho,seed,step,loss,answer_accuracy,exact_trace_accuracy,trace_step_accuracy,colon_rate
boolean_circuit_8,outcome,,2001,8000,0.3426327705383301,0.0805,,,1.0
boolean_circuit_8,outcome,,2002,8000,0.34254080057144165,0.0855,,,1.0
boolean_circuit_8,outcome,,2020,8000,0.34044748544692993,0.0835,,,1.0
boolean_circuit_8,outcome,,3000,8000,0.3421376347541809,0.0815,,,1.0
boolean_circuit_8,outcome,,2026,8000,0.3426758646965027,0.0885,,,1.0
boolean_circuit_8,rho=0.30,0.3,2001,8000,0.30028456449508667,0.0845,0.007,0.1769375,0.9985
boolean_circuit_8,rho=0.30,0.3,2002,8000,0.3001573085784912,0.0745,0.004,0.150375,0.997
boolean_circuit_8,rho=0.30,0.3,2020,8000,0.29423314332962036,0.09,0.0195,0.2584375,0.998
boolean_circuit_8,rho=0.30,0.3,3000,8000,0.2941471040248871,0.0685,0.0095,0.1715625,0.9995
boolean_circuit_8,rho=0.30,0.3,2026,8000,0.30218058824539185,0.0745,0.0065,0.11925,0.999
boolean_circuit_8,rho=0.50,0.5,2001,8000,0.2570038437843323,0.133,0.0475,0.313125,0.998
boolean_circuit_8,rho=0.50,0.5,2002,8000,0.2666182518005371,0.11,0.036,0.2950625,0.999
boolean_circuit_8,rho=0.50,0.5,2020,8000,0.23951970040798187,0.197,0.124,0.4188125,0.9985
boolean_circuit_8,rho=0.50,0.5,3000,8000,0.21157459914684296,0.292,0.244,0.5280625,1.0
boolean_circuit_8,rho=0.50,0.5,2026,8000,0.24040915071964264,0.169,0.0955,0.3846875,1.0
boolean_circuit_8,rho=0.80,0.8,2001,8000,0.13749516010284424,0.36,0.3085,0.600875,0.999
boolean_circuit_8,rho=0.80,0.8,2002,8000,0.1445610225200653,0.4195,0.383,0.66975,0.999
boolean_circuit_8,rho=0.80,0.8,2020,8000,0.11311083287000656,0.8315,0.8285,0.92825,0.9995
boolean_circuit_8,rho=0.80,0.8,3000,8000,0.10679784417152405,0.7375,0.73,0.8618125,0.999
boolean_circuit_8,rho=0.80,0.8,2026,8000,0.10122641175985336,0.7505,0.7315,0.8865,0.9995
boolean_circuit_8,rho=0.85,0.85,2001,8000,0.09511632472276688,0.6165,0.593,0.823375,0.9985
boolean_circuit_8,rho=0.85,0.85,2002,8000,0.12005957961082458,0.511,0.485,0.7338125,1.0
boolean_circuit_8,rho=0.85,0.85,2020,8000,0.096143439412117,0.8785,0.876,0.9464375,1.0
boolean_circuit_8,rho=0.85,0.85,3000,8000,0.09352089464664459,0.8205,0.8125,0.9158125,0.9995
boolean_circuit_8,rho=0.85,0.85,2026,8000,0.07755422592163086,0.807,0.7885,0.9243125,1.0
boolean_circuit_8,rho=0.90,0.9,2001,8000,0.06024372950196266,0.8165,0.806,0.9365,0.9985
boolean_circuit_8,rho=0.90,0.9,2002,8000,0.08776689320802689,0.6645,0.6515,0.8315,0.9995
boolean_circuit_8,rho=0.90,0.9,2020,8000,0.0691482201218605,0.8985,0.895,0.9516875,0.9995
boolean_circuit_8,rho=0.90,0.9,3000,8000,0.07001502811908722,0.88,0.8645,0.9480625,1.0
boolean_circuit_8,rho=0.90,0.9,2026,8000,0.05330127105116844,0.835,0.8175,0.935625,0.9995
boolean_circuit_8,rho=0.95,0.95,2001,8000,0.029573075473308563,0.8815,0.877,0.9574375,1.0
boolean_circuit_8,rho=0.95,0.95,2002,8000,0.03695020079612732,0.775,0.77,0.8970625,0.999
boolean_circuit_8,rho=0.95,0.95,2020,8000,0.022685715928673744,0.945,0.9425,0.9754375,1.0
boolean_circuit_8,rho=0.95,0.95,3000,8000,0.025477178394794464,0.906,0.8895,0.961625,0.9995
boolean_circuit_8,rho=0.95,0.95,2026,8000,0.02460472472012043,0.8435,0.825,0.9403125,1.0
boolean_circuit_8,rho=1.00,1.0,2001,8000,0.005582873709499836,0.9165,0.913,0.97375,1.0
boolean_circuit_8,rho=1.00,1.0,2002,8000,0.0057923574931919575,0.8885,0.8845,0.958125,1.0
boolean_circuit_8,rho=1.00,1.0,2020,8000,0.0026187130715698004,0.9685,0.9655,0.99025,1.0
boolean_circuit_8,rho=1.00,1.0,3000,8000,0.004149209707975388,0.9335,0.9175,0.9743125,1.0
boolean_circuit_8,rho=1.00,1.0,2026,8000,0.0059081073850393295,0.9235,0.9065,0.97925,0.9995
