depth,slope,predicted_D_minus_1,r2,theorem
2,1.6275191490695602,1,0.9071826820713926,cor:near-mixing
3,2.471833511293061,2,0.9694945278312523,cor:near-mixing
4,3.3804128710178762,3,0.9879220452188404,cor:near-mixing
5,4.29560455434267,4,0.9952731609644166,cor:near-mixing
6,5.254991903883733,5,0.9974974386693802,cor:near-mixing
7,6.224742305512961,6,0.9986204315228392,cor:near-mixing
8,7.182613046337403,7,0.9993015176071269,cor:near-mixing
9,8.159710876740517,8,0.9995890267032881,cor:near-mixing
10,9.137169092954792,9,0.9997570330404425,cor:near-mixing
11,10.118210065245444,10,0.9998531526053239,cor:near-mixing
12,11.110409758764835,11,0.999893736996003,cor:near-mixing
