depth,slope,predicted_D_minus_1,r2,eps_max,theorem
2,1.129390248164423,1,0.9940528522587652,0.5,cor:near-mixing mixing-ball
3,2.049745995775194,2,0.9997669141247336,0.5,cor:near-mixing mixing-ball
4,3.020316214127758,3,0.9999690812535271,0.5,cor:near-mixing mixing-ball
5,4.01032577071139,4,0.9999946551159535,0.5,cor:near-mixing mixing-ball
6,5.001276334835541,5,0.9999999320323356,0.5,cor:near-mixing mixing-ball
7,6.001730346012355,6,0.9999999209254351,0.5,cor:near-mixing mixing-ball
8,6.999570167514636,7,0.999999997062224,0.5,cor:near-mixing mixing-ball
9,8.000228746516358,8,0.9999999993781621,0.5,cor:near-mixing mixing-ball
10,8.99986631715065,9,0.9999999998239981,0.5,cor:near-mixing mixing-ball
11,10.000012083116944,10,0.9999999999989343,0.5,cor:near-mixing mixing-ball
12,11.000005568888602,11,0.9999999999998009,0.5,cor:near-mixing mixing-ball
