depth,seed,step,condition,theorem,mixing_radius_max,mixing_radius_mean,outcome_rule_credit_mean,outcome_rule_credit_max,n_credit_terms,process_floor_mean,state_mass_mean,readout,n_tables
2,42,0,init_outcome_architecture,cor:near-mixing / Def 20 at init,0.011140421767304023,0.00837592540991265,0.017681991162778025,0.04352277237828032,128,15.002376081741893,0.22244611382484436,gold_prefix_def20,4
2,43,0,init_outcome_architecture,cor:near-mixing / Def 20 at init,0.010314174977796926,0.007425955254410445,0.015314820234312063,0.03846351484402545,128,15.002350504252929,0.2223164290189743,gold_prefix_def20,4
2,44,0,init_outcome_architecture,cor:near-mixing / Def 20 at init,0.010982630201485823,0.008152063525143066,0.01740774044094876,0.04204992427409721,128,15.005691180881492,0.2223711758852005,gold_prefix_def20,4
4,42,0,init_outcome_architecture,cor:near-mixing / Def 20 at init,0.021690335504308836,0.016281960010644483,0.014775417752604403,0.07786932978834506,256,15.015102056641755,0.2228430211544037,gold_prefix_def20,8
4,43,0,init_outcome_architecture,cor:near-mixing / Def 20 at init,0.020857723446448543,0.015461119659748267,0.014882060046589159,0.08142612077169012,256,14.996503623487591,0.2217109352350235,gold_prefix_def20,8
4,44,0,init_outcome_architecture,cor:near-mixing / Def 20 at init,0.01916944110359105,0.014377690414882887,0.013671221198962562,0.07459418938938345,256,14.983604015471608,0.22200509905815125,gold_prefix_def20,8
6,42,0,init_outcome_architecture,cor:near-mixing / Def 20 at init,0.028692721701303246,0.024187949014306313,0.015487936673301077,0.11212744621778024,384,15.008527933879074,0.2232804000377655,gold_prefix_def20,12
6,43,0,init_outcome_architecture,cor:near-mixing / Def 20 at init,0.028643775846928586,0.022575324918863986,0.014736452009485835,0.11203081207154655,384,15.028637508659102,0.2233652025461197,gold_prefix_def20,12
6,44,0,init_outcome_architecture,cor:near-mixing / Def 20 at init,0.022718015096670305,0.016798087522101247,0.010905110201676215,0.09061847464782484,384,15.002032983598772,0.223358616232872,gold_prefix_def20,12
8,42,0,init_outcome_architecture,cor:near-mixing / Def 20 at init,0.05375574780786793,0.04776589857907602,0.02355430717499346,0.22152402700620652,512,15.076092687325305,0.22347190976142883,gold_prefix_def20,16
8,43,0,init_outcome_architecture,cor:near-mixing / Def 20 at init,0.07081376200433631,0.06365775347399748,0.031321340670302844,0.2913623590081842,512,15.113922273728765,0.21948681771755219,gold_prefix_def20,16
8,44,0,init_outcome_architecture,cor:near-mixing / Def 20 at init,0.0610244323599406,0.05253398666365223,0.025250816194746985,0.24949841456850208,512,15.073456251192145,0.2211628258228302,gold_prefix_def20,16
