model,layer,method,counterfactual_accuracy
oracle_outcome,0,oracle_slot,1.0
oracle_outcome,0,random_subspace,0.0625
oracle_outcome,0,unstructured,0.03125
oracle_outcome,0,wrong_layer,0.125
oracle_outcome,0,probe_subspace,0.0625
oracle_outcome,0,probe_wrong_layer,0.03125
oracle_outcome,1,oracle_slot,1.0
oracle_outcome,1,random_subspace,0.1875
oracle_outcome,1,unstructured,0.0625
oracle_outcome,1,wrong_layer,0.5625
oracle_outcome,1,probe_subspace,0.0
oracle_outcome,1,probe_wrong_layer,0.0625
oracle_outcome,2,oracle_slot,1.0
oracle_outcome,2,random_subspace,0.1875
oracle_outcome,2,unstructured,0.0625
oracle_outcome,2,wrong_layer,0.4375
oracle_outcome,2,probe_subspace,0.0
oracle_outcome,2,probe_wrong_layer,0.0625
oracle_outcome,3,oracle_slot,1.0
oracle_outcome,3,random_subspace,0.0625
oracle_outcome,3,unstructured,0.0625
oracle_outcome,3,wrong_layer,0.15625
oracle_outcome,3,probe_subspace,0.09375
oracle_outcome,3,probe_wrong_layer,0.125
