depth,theorem,model,layer,method,counterfactual_accuracy
2,thm:realizability patch,oracle_outcome,0,oracle_slot,1.0
2,thm:realizability patch,oracle_outcome,0,random_subspace,0.0
2,thm:realizability patch,oracle_outcome,0,unstructured,0.0
2,thm:realizability patch,oracle_outcome,0,wrong_layer,0.1875
2,thm:realizability patch,oracle_outcome,0,probe_subspace,0.09375
2,thm:realizability patch,oracle_outcome,0,probe_wrong_layer,0.0625
2,thm:realizability patch,oracle_outcome,1,oracle_slot,1.0
2,thm:realizability patch,oracle_outcome,1,random_subspace,0.25
2,thm:realizability patch,oracle_outcome,1,unstructured,0.03125
2,thm:realizability patch,oracle_outcome,1,wrong_layer,0.1875
2,thm:realizability patch,oracle_outcome,1,probe_subspace,0.4375
2,thm:realizability patch,oracle_outcome,1,probe_wrong_layer,0.0
4,thm:realizability patch,oracle_outcome,0,oracle_slot,1.0
4,thm:realizability patch,oracle_outcome,0,random_subspace,0.0625
4,thm:realizability patch,oracle_outcome,0,unstructured,0.03125
4,thm:realizability patch,oracle_outcome,0,wrong_layer,0.125
4,thm:realizability patch,oracle_outcome,0,probe_subspace,0.0625
4,thm:realizability patch,oracle_outcome,0,probe_wrong_layer,0.03125
4,thm:realizability patch,oracle_outcome,1,oracle_slot,1.0
4,thm:realizability patch,oracle_outcome,1,random_subspace,0.1875
4,thm:realizability patch,oracle_outcome,1,unstructured,0.0625
4,thm:realizability patch,oracle_outcome,1,wrong_layer,0.5625
4,thm:realizability patch,oracle_outcome,1,probe_subspace,0.0
4,thm:realizability patch,oracle_outcome,1,probe_wrong_layer,0.0625
4,thm:realizability patch,oracle_outcome,2,oracle_slot,1.0
4,thm:realizability patch,oracle_outcome,2,random_subspace,0.1875
4,thm:realizability patch,oracle_outcome,2,unstructured,0.0625
4,thm:realizability patch,oracle_outcome,2,wrong_layer,0.4375
4,thm:realizability patch,oracle_outcome,2,probe_subspace,0.0
4,thm:realizability patch,oracle_outcome,2,probe_wrong_layer,0.0625
4,thm:realizability patch,oracle_outcome,3,oracle_slot,1.0
4,thm:realizability patch,oracle_outcome,3,random_subspace,0.0625
4,thm:realizability patch,oracle_outcome,3,unstructured,0.0625
4,thm:realizability patch,oracle_outcome,3,wrong_layer,0.15625
4,thm:realizability patch,oracle_outcome,3,probe_subspace,0.09375
4,thm:realizability patch,oracle_outcome,3,probe_wrong_layer,0.125
6,thm:realizability patch,oracle_outcome,0,oracle_slot,1.0
6,thm:realizability patch,oracle_outcome,0,random_subspace,0.0625
6,thm:realizability patch,oracle_outcome,0,unstructured,0.125
6,thm:realizability patch,oracle_outcome,0,wrong_layer,0.34375
6,thm:realizability patch,oracle_outcome,0,probe_subspace,0.03125
6,thm:realizability patch,oracle_outcome,0,probe_wrong_layer,0.125
6,thm:realizability patch,oracle_outcome,1,oracle_slot,1.0
6,thm:realizability patch,oracle_outcome,1,random_subspace,0.09375
6,thm:realizability patch,oracle_outcome,1,unstructured,0.09375
6,thm:realizability patch,oracle_outcome,1,wrong_layer,0.34375
6,thm:realizability patch,oracle_outcome,1,probe_subspace,0.0
6,thm:realizability patch,oracle_outcome,1,probe_wrong_layer,0.0
6,thm:realizability patch,oracle_outcome,2,oracle_slot,1.0
6,thm:realizability patch,oracle_outcome,2,random_subspace,0.125
6,thm:realizability patch,oracle_outcome,2,unstructured,0.09375
6,thm:realizability patch,oracle_outcome,2,wrong_layer,0.46875
6,thm:realizability patch,oracle_outcome,2,probe_subspace,0.0625
6,thm:realizability patch,oracle_outcome,2,probe_wrong_layer,0.0
6,thm:realizability patch,oracle_outcome,3,oracle_slot,1.0
6,thm:realizability patch,oracle_outcome,3,random_subspace,0.21875
6,thm:realizability patch,oracle_outcome,3,unstructured,0.0625
6,thm:realizability patch,oracle_outcome,3,wrong_layer,0.40625
6,thm:realizability patch,oracle_outcome,3,probe_subspace,0.0
6,thm:realizability patch,oracle_outcome,3,probe_wrong_layer,0.1875
6,thm:realizability patch,oracle_outcome,4,oracle_slot,1.0
6,thm:realizability patch,oracle_outcome,4,random_subspace,0.1875
6,thm:realizability patch,oracle_outcome,4,unstructured,0.09375
6,thm:realizability patch,oracle_outcome,4,wrong_layer,0.40625
6,thm:realizability patch,oracle_outcome,4,probe_subspace,0.15625
6,thm:realizability patch,oracle_outcome,4,probe_wrong_layer,0.0625
6,thm:realizability patch,oracle_outcome,5,oracle_slot,1.0
6,thm:realizability patch,oracle_outcome,5,random_subspace,0.25
6,thm:realizability patch,oracle_outcome,5,unstructured,0.09375
6,thm:realizability patch,oracle_outcome,5,wrong_layer,0.09375
6,thm:realizability patch,oracle_outcome,5,probe_subspace,0.0625
6,thm:realizability patch,oracle_outcome,5,probe_wrong_layer,0.0
