rho,sampling,n,symmetric_rule,symmetric_answer,coherent_rule,coherent_answer
0.05,uniform,20000,0.018028846153846152,0.057,0.0,0.057
0.0625,uniform,20000,0.11899038461538461,0.064,0.0,0.057
0.1,uniform,20000,0.6995192307692307,0.105,0.0,0.057
0.25,uniform,20000,1.0,1.0,0.0,0.057
0.4,uniform,20000,1.0,1.0,0.001201923076923077,0.059
0.49,uniform,20000,1.0,1.0,0.34375,0.062
0.51,uniform,20000,1.0,1.0,0.5637019230769231,0.076
0.6,uniform,20000,1.0,1.0,0.9987980769230769,0.987
0.8,uniform,20000,1.0,1.0,1.0,1.0
0.05,family,20000,0.016826923076923076,0.066,0.0,0.063
0.0625,family,20000,0.08533653846153846,0.07,0.0,0.063
0.1,family,20000,0.6045673076923077,0.099,0.0,0.063
0.25,family,20000,1.0,1.0,0.0,0.063
0.4,family,20000,1.0,1.0,0.004807692307692308,0.061
0.49,family,20000,1.0,1.0,0.36538461538461536,0.065
0.51,family,20000,1.0,1.0,0.5673076923076923,0.08
0.6,family,20000,1.0,1.0,0.9891826923076923,0.948
0.8,family,20000,1.0,1.0,1.0,1.0
