mode,step,seed,free_answer_accuracy,free_exact_continuation,terminal_query,terminal_state_mass,terminal_state_argmax_accuracy,local_query_status,local_rule_accuracy,local_rule_tv,local_state_mass,local_state_mass_min,local_context_variation_tv,epsilon_rule,gamma,composition_tv_with_invalid,composition_tv_conditional,product_answer_accuracy,gradient_query,gradient_actual_norm,gradient_predicted_norm,gradient_cosine,gradient_relative_error,gradient_rule_pullback_norm,gradient_rule_cosine,descent_oracle_rule_cosine,descent_random_rule_cosine_mean,descent_random_rule_cosine_std,gradient_actual_loss,gradient_predicted_loss
process,0,42,0.02734375,0.0,after greedy trace; not a marginal over traces,0.0,0.0,gold-prefix trace readout; conditioned on valid state token,0.06370192766189575,0.9376823902130127,0.22255007922649384,0.1115536019206047,0.18958504498004913,0.06297887861728668,0.2640227675437927,1.0,nan,0.0625,,,,,,,,,,,,
outcome,0,42,0.0,0.0,direct answer conditioned on COLON,0.21820731461048126,0.05000000074505806,omitted: trace query is out of distribution,,,,,,,,,,,,,,,,,,,,,,
both,0,42,0.02734375,0.0,direct answer conditioned on COLON,0.21820731461048126,0.05000000074505806,gold-prefix trace readout; conditioned on valid state token,0.06370192766189575,0.9376823902130127,0.22255007922649384,0.1115536019206047,0.18958504498004913,0.06297887861728668,0.2640227675437927,0.7875203490257263,0.3576281666755676,0.0625,mixed only; direct answer CE; first-step local tables,5.552762508392334,4.261239051818848,0.36813319685643114,1.0118790171255665,0.08517684787511826,0.049244806265958826,-0.004314316155871232,0.0016809438361343257,0.031805743276479614,4.770726203918457,3.2917354106903076
process,5,42,0.0,0.0,after greedy trace; not a marginal over traces,0.3347533047199249,0.0,gold-prefix trace readout; conditioned on valid state token,0.06730769574642181,0.9348008632659912,0.44492682814598083,0.16952776908874512,0.15161289274692535,0.0570296086370945,0.2611543536186218,0.7063596248626709,0.3010641932487488,0.03750000149011612,,,,,,,,,,,,
outcome,5,42,0.078125,0.078125,direct answer conditioned on COLON,0.6769664883613586,0.05000000074505806,omitted: trace query is out of distribution,,,,,,,,,,,,,,,,,,,,,,
both,5,42,0.0703125,0.0703125,direct answer conditioned on COLON,0.6762016415596008,0.02500000037252903,gold-prefix trace readout; conditioned on valid state token,0.0625,0.936918318271637,0.2837821841239929,0.025858215987682343,0.17320479452610016,0.04470846429467201,0.2654247581958771,0.430840402841568,0.28883400559425354,0.02500000037252903,mixed only; direct answer CE; first-step local tables,5.463945388793945,4.8166961669921875,0.5182207979563856,0.9292196932223867,0.08213293552398682,-0.12140707818149532,-0.05431736516333701,0.0018521539848217403,0.04065702711191705,3.5084729194641113,3.3751556873321533
process,10,42,0.046875,0.0,after greedy trace; not a marginal over traces,0.884896457195282,0.08749999850988388,gold-prefix trace readout; conditioned on valid state token,0.09855769574642181,0.9316430687904358,0.8469926714897156,0.4119853377342224,0.11136718839406967,0.07792071253061295,0.21551549434661865,0.2784239947795868,0.20592299103736877,0.10000000149011612,,,,,,,,,,,,
outcome,10,42,0.07421875,0.07421875,direct answer conditioned on COLON,0.9811355471611023,0.07500000298023224,omitted: trace query is out of distribution,,,,,,,,,,,,,,,,,,,,,,
both,10,42,0.0390625,0.0390625,direct answer conditioned on COLON,0.9742401242256165,0.10000000149011612,gold-prefix trace readout; conditioned on valid state token,0.06850961595773697,0.9362922310829163,0.5708514451980591,0.20268595218658447,0.14890243113040924,0.04870719462633133,0.25337934494018555,0.2557733952999115,0.24613896012306213,0.08749999850988388,mixed only; direct answer CE; first-step local tables,6.259828567504883,5.196168422698975,0.6335476773791778,0.7982750667057085,0.05546240508556366,-0.1963678152039555,-0.062252645357201514,-0.00947609285509198,0.08113645783883944,2.833017587661743,3.1305160522460938
process,15,42,0.0390625,0.0,after greedy trace; not a marginal over traces,0.9978193640708923,0.05000000074505806,gold-prefix trace readout; conditioned on valid state token,0.12259615957736969,0.9230530858039856,0.9665632247924805,0.14476847648620605,0.08984735608100891,0.16096706688404083,0.2633342444896698,0.23581743240356445,0.2349141538143158,0.05000000074505806,,,,,,,,,,,,
outcome,15,42,0.07421875,0.07421875,direct answer conditioned on COLON,0.9977405667304993,0.11250000447034836,omitted: trace query is out of distribution,,,,,,,,,,,,,,,,,,,,,,
both,15,42,0.06640625,0.06640625,direct answer conditioned on COLON,0.9987474679946899,0.05000000074505806,gold-prefix trace readout; conditioned on valid state token,0.07091346383094788,0.9354992508888245,0.8257432579994202,0.33674758672714233,0.13036689162254333,0.04629797488451004,0.2360052913427353,0.24026377499103546,0.2398003786802292,0.08749999850988388,mixed only; direct answer CE; first-step local tables,8.297155380249023,6.4908223152160645,0.7704903576037728,0.6375609497622927,0.060158319771289825,-0.301717286553621,0.11941682750481707,0.04718197578603862,0.12172480911497957,2.880863904953003,3.116719961166382
process,20,42,0.0625,0.0,after greedy trace; not a marginal over traces,0.999806821346283,0.0625,gold-prefix trace readout; conditioned on valid state token,0.265625,0.8908905982971191,0.988197922706604,0.14330372214317322,0.11729636788368225,0.5184881687164307,0.19766424596309662,0.29414424300193787,0.29406920075416565,0.07500000298023224,,,,,,,,,,,,
outcome,20,42,0.01953125,0.01953125,direct answer conditioned on COLON,0.9989131093025208,0.07500000298023224,omitted: trace query is out of distribution,,,,,,,,,,,,,,,,,,,,,,
both,20,42,0.04296875,0.04296875,direct answer conditioned on COLON,0.9997202157974243,0.03750000149011612,gold-prefix trace readout; conditioned on valid state token,0.07572115957736969,0.9343908429145813,0.9375290870666504,0.38767942786216736,0.11481893807649612,0.0581820122897625,0.25792622566223145,0.2637401819229126,0.26363956928253174,0.03750000149011612,mixed only; direct answer CE; first-step local tables,8.577271461486816,6.301519393920898,0.6501924433909277,0.7644522894964276,0.08248888701200485,-0.09516128889587921,-0.036952068787198096,0.007256271974173962,0.0852928098278023,2.831275701522827,2.8782827854156494
process,25,42,0.07421875,0.0,after greedy trace; not a marginal over traces,0.999724805355072,0.08749999850988388,gold-prefix trace readout; conditioned on valid state token,0.4459134638309479,0.8246806263923645,0.9957032203674316,0.6914998292922974,0.16667917370796204,0.7765723466873169,0.19636276364326477,0.4995231628417969,0.49943774938583374,0.02500000037252903,,,,,,,,,,,,
outcome,25,42,0.0625,0.0625,direct answer conditioned on COLON,0.9982299208641052,0.02500000037252903,omitted: trace query is out of distribution,,,,,,,,,,,,,,,,,,,,,,
both,25,42,0.046875,0.046875,direct answer conditioned on COLON,0.9981107711791992,0.03750000149011612,gold-prefix trace readout; conditioned on valid state token,0.078125,0.9332228899002075,0.9703899621963501,0.3954441249370575,0.1023927554488182,0.07150158286094666,0.22241845726966858,0.21628713607788086,0.21558299660682678,0.0625,mixed only; direct answer CE; first-step local tables,8.806953430175781,7.883589744567871,0.8035884647479633,0.6021877125122905,0.07273628562688828,-0.25840609313987206,-0.007690915454684226,0.04939856849713567,0.06616557102169565,3.1794450283050537,3.244697093963623
