mode,step,seed,free_answer_accuracy,free_exact_continuation,terminal_query,terminal_state_mass,terminal_state_argmax_accuracy,local_query_status,local_rule_accuracy,local_rule_tv,local_state_mass,local_state_mass_min,local_context_variation_tv,epsilon_rule,gamma,composition_tv_with_invalid,composition_tv_conditional,product_answer_accuracy,gradient_query,gradient_actual_norm,gradient_predicted_norm,gradient_cosine,gradient_relative_error,gradient_rule_pullback_norm,gradient_rule_cosine,descent_oracle_rule_cosine,descent_random_rule_cosine_mean,descent_random_rule_cosine_std,gradient_actual_loss,gradient_predicted_loss
process,0,45,0.0,0.0,after greedy trace; not a marginal over traces,0.0,0.0,gold-prefix trace readout; conditioned on valid state token,0.06490384787321091,0.9371886849403381,0.22315765917301178,0.1165233924984932,0.17234648764133453,0.07634727656841278,0.32650813460350037,1.0,nan,0.10000000149011612,,,,,,,,,,,,
outcome,0,45,0.0,0.0,direct answer conditioned on COLON,0.2053382843732834,0.11249999701976776,omitted: trace query is out of distribution,,,,,,,,,,,,,,,,,,,,,,
both,0,45,0.0,0.0,direct answer conditioned on COLON,0.2053382843732834,0.11249999701976776,gold-prefix trace readout; conditioned on valid state token,0.06490384787321091,0.9371886849403381,0.22315765917301178,0.1165233924984932,0.17234648764133453,0.07634727656841278,0.32650813460350037,0.7979015707969666,0.3075459599494934,0.10000000149011612,mixed only; direct answer CE; first-step local tables,5.494979381561279,4.541668891906738,0.4113298435097436,1.0015909672905838,0.15184083580970764,-0.03506890777121411,-0.028513299147970163,0.011430998437565159,0.03519807810828709,4.4742512702941895,2.9559898376464844
process,100,45,0.41796875,0.3984375,after greedy trace; not a marginal over traces,0.9999505877494812,0.3375000059604645,gold-prefix trace readout; conditioned on valid state token,0.6394230723381042,0.4964642822742462,0.9967306852340698,0.8193178772926331,0.07713471353054047,1.2114533185958862,0.13865342736244202,0.65064936876297,0.6506489515304565,0.38749998807907104,,,,,,,,,,,,
outcome,100,45,0.359375,0.359375,direct answer conditioned on COLON,0.9962198138237,0.22499999403953552,omitted: trace query is out of distribution,,,,,,,,,,,,,,,,,,,,,,
both,100,45,0.3203125,0.3125,direct answer conditioned on COLON,0.9971747398376465,0.21250000596046448,gold-prefix trace readout; conditioned on valid state token,0.5721153616905212,0.5997715592384338,0.9960750937461853,0.8980571627616882,0.0805995911359787,1.0562405586242676,0.17950396239757538,0.23695769906044006,0.23583073914051056,0.21250000596046448,mixed only; direct answer CE; first-step local tables,6.568685531616211,9.528039932250977,0.7303133647558102,0.9926464545979059,4.906312942504883,0.5184442373831493,0.2495295600667079,-0.11015478061969575,0.14630050586856644,2.4701404571533203,2.3372750282287598
process,500,45,1.0,1.0,after greedy trace; not a marginal over traces,1.0,1.0,gold-prefix trace readout; conditioned on valid state token,1.0,0.0014920320827513933,0.9999911189079285,0.9986617565155029,0.0004677818506024778,1.0044474601745605,0.00359098007902503,0.0024485152680426836,0.0024485033936798573,1.0,,,,,,,,,,,,
outcome,500,45,0.57421875,0.57421875,direct answer conditioned on COLON,0.9983683824539185,0.4625000059604645,omitted: trace query is out of distribution,,,,,,,,,,,,,,,,,,,,,,
both,500,45,0.58984375,0.58984375,direct answer conditioned on COLON,0.9976423978805542,0.4749999940395355,gold-prefix trace readout; conditioned on valid state token,0.9879807829856873,0.06615950912237167,0.9997326135635376,0.9883407354354858,0.018748873844742775,1.2565419673919678,0.09084805846214294,0.5983102321624756,0.5975250005722046,1.0,mixed only; direct answer CE; first-step local tables,7.1924872398376465,3.767322301864624,0.3019362781104504,0.978801078432874,3.5461738109588623,0.2996443605069849,0.14612047747317256,-0.10418531215635182,0.04966429671551326,1.8461940288543701,0.1770109236240387
process,1000,45,1.0,1.0,after greedy trace; not a marginal over traces,1.0,1.0,gold-prefix trace readout; conditioned on valid state token,1.0,0.0003913680266123265,0.9999968409538269,0.9995601177215576,0.00013032816059421748,1.00065016746521,0.0006244020769372582,0.0006331920740194619,0.0006331891054287553,1.0,,,,,,,,,,,,
outcome,1000,45,0.59765625,0.59765625,direct answer conditioned on COLON,0.9995325207710266,0.5249999761581421,omitted: trace query is out of distribution,,,,,,,,,,,,,,,,,,,,,,
both,1000,45,0.67578125,0.67578125,direct answer conditioned on COLON,0.9983444213867188,0.5,gold-prefix trace readout; conditioned on valid state token,0.9975961446762085,0.015144970268011093,0.9999729990959167,0.9936001896858215,0.007595359813421965,1.146864891052246,0.05166834220290184,0.5513402819633484,0.5506208539009094,1.0,mixed only; direct answer CE; first-step local tables,8.963116645812988,0.8633339405059814,0.15192042767288155,0.9899551088369443,0.8511780500411987,0.14095005384194076,-0.04766389526542386,-0.03505327051281626,0.06622520920985175,1.07004976272583,0.015602477826178074
process,2000,45,1.0,1.0,after greedy trace; not a marginal over traces,1.0,1.0,gold-prefix trace readout; conditioned on valid state token,1.0,0.000113550056994427,0.9999986886978149,0.9998499155044556,3.757443846552633e-05,1.0001544952392578,0.0001431733398931101,0.00019405578495934606,0.0001940550428116694,1.0,,,,,,,,,,,,
outcome,2000,45,0.671875,0.671875,direct answer conditioned on COLON,0.9998890161514282,0.612500011920929,omitted: trace query is out of distribution,,,,,,,,,,,,,,,,,,,,,,
both,2000,45,0.74609375,0.74609375,direct answer conditioned on COLON,0.9987490773200989,0.512499988079071,gold-prefix trace readout; conditioned on valid state token,0.995192289352417,0.009370519779622555,0.9999470114707947,0.9661170840263367,0.005870786961168051,1.1635775566101074,0.05693885684013367,0.4988398551940918,0.49815088510513306,0.987500011920929,mixed only; direct answer CE; first-step local tables,16.132835388183594,0.36518436670303345,0.15889189048315028,0.9966530909696235,0.34323203563690186,0.15959859064813547,-0.030013196594524342,-0.004909165381409504,0.054420107092536,1.0968561172485352,0.005636829882860184
