seed,block,architecture,mode,final_test_acc,best_test_acc,final_train_loss,final_test_loss
42,history,process_architecture,process,1.0,1.0,2.41281e-05,2.23938e-05
42,history,outcome_architecture,outcome,0.017,0.138,1073.2279052734,1046.1788330078
42,history_2x2,process_architecture,process,1.0,1.0,2.41281e-05,2.23938e-05
42,history_2x2,process_architecture,outcome,0.313,0.33,0.5770270228,0.6264912486
42,history_2x2,outcome_architecture,outcome,0.141,0.15,0.886836946,0.9028878808
42,history_2x2,outcome_architecture,process,1.0,1.0,0.0001063404,0.0001682421
43,history,process_architecture,process,1.0,1.0,3.8708e-05,3.55652e-05
43,history,outcome_architecture,outcome,0.069,0.157,7.6341519356,7.1009025574
43,history_2x2,process_architecture,process,1.0,1.0,3.8708e-05,3.55652e-05
43,history_2x2,process_architecture,outcome,0.346,0.346,0.5789259076,0.6352308989
43,history_2x2,outcome_architecture,outcome,0.339,0.339,0.5495147705,0.6769225597
43,history_2x2,outcome_architecture,process,0.0,0.922,64687509504.0,132870021120.0
44,history,process_architecture,process,1.0,1.0,2.8063e-05,2.7022e-05
44,history,outcome_architecture,outcome,0.114,0.121,1.0396950245,0.9720496535
44,history_2x2,process_architecture,process,1.0,1.0,2.8063e-05,2.7022e-05
44,history_2x2,process_architecture,outcome,0.262,0.262,0.6837242246,0.6920349002
44,history_2x2,outcome_architecture,outcome,0.159,0.175,0.8330652118,0.8291449547
44,history_2x2,outcome_architecture,process,0.0,0.295,52.5607643127,55.7728233337
45,history,process_architecture,process,1.0,1.0,2.20207e-05,2.27356e-05
45,history,outcome_architecture,outcome,0.002,0.195,1490673.375,1439574.5
45,history_2x2,process_architecture,process,1.0,1.0,2.20207e-05,2.27356e-05
45,history_2x2,process_architecture,outcome,0.309,0.338,0.5329656601,0.6615798473
45,history_2x2,outcome_architecture,outcome,0.1,0.152,0.9110484123,0.8930127621
45,history_2x2,outcome_architecture,process,1.0,1.0,4.41211e-05,5.08361e-05
46,history,process_architecture,process,1.0,1.0,3.10583e-05,2.72029e-05
46,history,outcome_architecture,outcome,0.001,0.158,261824.6875,188521.390625
46,history_2x2,process_architecture,process,1.0,1.0,3.10583e-05,2.72029e-05
46,history_2x2,process_architecture,outcome,0.329,0.335,0.5941653848,0.6396683455
46,history_2x2,outcome_architecture,outcome,0.083,0.13,1.0073558092,0.9999313951
46,history_2x2,outcome_architecture,process,0.0,0.66,27958.6015625,30588.466796875
