seed,model,optimized,mode,test_answer_accuracy,test_exact_continuation
42,Fixed PROCESS reference,False,process,1.0,1.0
42,Trained PROCESS architecture,True,process,1.0,1.0
42,Fixed OUTCOME reference,False,outcome,1.0,1.0
42,Trained OUTCOME architecture,True,outcome,0.017,0.0
43,Fixed PROCESS reference,False,process,1.0,1.0
43,Trained PROCESS architecture,True,process,1.0,1.0
43,Fixed OUTCOME reference,False,outcome,1.0,1.0
43,Trained OUTCOME architecture,True,outcome,0.069,0.028
44,Fixed PROCESS reference,False,process,1.0,1.0
44,Trained PROCESS architecture,True,process,1.0,1.0
44,Fixed OUTCOME reference,False,outcome,1.0,1.0
44,Trained OUTCOME architecture,True,outcome,0.114,0.114
45,Fixed PROCESS reference,False,process,1.0,1.0
45,Trained PROCESS architecture,True,process,1.0,1.0
45,Fixed OUTCOME reference,False,outcome,1.0,1.0
45,Trained OUTCOME architecture,True,outcome,0.002,0.0
46,Fixed PROCESS reference,False,process,1.0,1.0
46,Trained PROCESS architecture,True,process,1.0,1.0
46,Fixed OUTCOME reference,False,outcome,1.0,1.0
46,Trained OUTCOME architecture,True,outcome,0.001,0.0
