condition,trace_fraction,depth,seed,step,free_answer_acc,gamma_hat,eps_rule_hat,rule_recovery,credit_mean,credit_max,state_on_set_mass,delta_comp_tv,delta_comp_gold,product_answer_acc,model_answer_acc,answer_on_set_mass,exponent_target,exponent_fit_conditional,exponent_r2_conditional,credit_by_lambda_conditional,eps_by_lambda_conditional,exponent_fit_proportional,exponent_r2_proportional,credit_by_lambda_proportional,eps_by_lambda_proportional,probe_seconds
both,,3,2001,0,0.0,0.1906511221630575,0.00852660322759191,0.0625,0.9869181935621011,18.226679316208394,8.190801048064023e-06,0.28511803090546567,0.03722198729547438,0.0525,0.0825,9.17465924877201e-06,2,,,,,,,,,11.1
both,,3,2001,250,0.135,0.11446925255294144,0.8904940094376783,0.2764423076923077,1.9687115036535046,17.8337773134379,0.9791524035130812,0.167932006731116,0.026720226437706582,0.1175,0.145,0.9783532702727726,2,,,,,,,,,8.7
both,,3,2001,500,0.12,0.11950321395756575,1.054738650184596,0.40024038461538464,3.075882869157723,48.57800287419595,0.9914660022024963,0.23391041865002904,0.043080166502323596,0.125,0.145,0.9919894345302822,2,,,,,,,,,8.1
both,,3,2001,1000,0.2075,0.12130658188113547,1.3217835018320385,0.5925480769230769,4.212892670376399,120.69190823740765,0.9974802238571112,0.3454480515030721,0.09748684825229349,0.2525,0.205,0.9974287529632049,2,,,,,,,,,9.0
both,,3,2001,2000,0.3325,0.1613829086970911,1.3635037730049238,0.8822115384615384,1.6603314258750375,42.65804803577082,0.9983295544718759,0.5138929245644376,0.37859512374325666,0.7625,0.32,0.9990125830411222,2,,,,,,,,,9.6
both,,3,2001,4000,0.6475,0.040620992551523384,1.1138849023222661,1.0,0.9404538226183425,1.7352629959863957,0.9993907136398528,0.5150255905867858,0.5129109030020844,1.0,0.56,0.9996796817117561,2,,,,,,,,,8.4
both,,3,2001,6000,0.885,0.0011112216889075418,1.0017835229655858,1.0,0.9376040404275148,0.9479879524757804,0.9998587307966875,0.30041564357792777,0.3003954844651174,1.0,0.765,0.9998436957239243,2,1.291162344782397,0.8829947174864811,"{""1"": 0.9376649264579062, ""0.5"": 1.3043407018478492, ""0.25"": 0.7593506963696113, ""0.125"": 0.22764661860321397, ""0.0625"": 0.058364677164795896, ""0.03125"": 0.014637884627356474}","{""1"": 1.0017835229655858, ""0.5"": 0.5008917614827929, ""0.25"": 0.25044588074139645, ""0.125"": 0.12522294037069823, ""0.0625"": 0.06261147018534911, ""0.03125"": 0.03130573509267456}",1.2911473083085667,0.8829852679584606,"{""1"": 0.9376040404275148, ""0.5"": 1.3043525927477162, ""0.25"": 0.7593586861492851, ""0.125"": 0.22764814777478107, ""0.0625"": 0.05836499500558017, ""0.03125"": 0.014638045424084875}","{""1"": 1.0017835229655858, ""0.5"": 0.5008917614827929, ""0.25"": 0.25044588074139645, ""0.125"": 0.12522294037069823, ""0.0625"": 0.06261147018534911, ""0.03125"": 0.03130573509267456}",9.3
both,,3,2002,0,0.0,0.356978756119259,0.03819408005828402,0.0625,6.6005420980344205,110.9460375784397,7.384609521548028e-07,0.21956464523440153,0.024506150256907607,0.065,0.06,8.854053566951475e-07,2,,,,,,,,,11.1
both,,3,2002,250,0.1275,0.1212295067448836,0.9764079258744034,0.30649038461538464,2.308873534718387,25.09646031423619,0.9792360101555293,0.17747183277101136,0.027877602035600937,0.1175,0.1475,0.9794954967451807,2,,,,,,,,,8.7
both,,3,2002,500,0.1675,0.13511691211687965,1.0801781080025972,0.47475961538461536,3.039735909719355,58.569747338779464,0.9927275277807772,0.23559927048527776,0.04139103733098848,0.1275,0.16,0.993795267589393,2,,,,,,,,,9.8
both,,3,2002,1000,0.1825,0.1341299457779386,1.1398631410737712,0.6346153846153846,4.371407168174722,65.47592466116375,0.9972225205183428,0.33692266663355297,0.0863747669541583,0.255,0.195,0.9980736270494657,2,,,,,,,,,9.5
both,,3,2002,2000,0.2925,0.13298970856453854,1.29170663575448,0.8185096153846154,1.8406225505783997,16.96771371396486,0.9987883939627996,0.5440301238048117,0.3015884820775036,0.61,0.2375,0.9992151509526134,2,,,,,,,,,8.8
both,,3,2002,4000,0.8675,0.06424363024721595,1.2173337540194065,0.9975961538461539,0.9448560156412366,3.580484988529645,0.999534677653438,0.6423265042050358,0.6376905412174239,0.9975,0.43,0.9997397324841967,2,,,,,,,,,9.4
both,,3,2002,6000,0.845,0.0038352868739129553,1.0078422784432588,1.0,0.9376063672150872,0.979582395531881,0.9997720925803807,0.5145192498603683,0.51448335255889,1.0,0.5675,0.9998299070119226,2,1.2911738078933663,0.8829996037536703,"{""1"": 0.9376904559478161, ""0.5"": 1.3043430376104084, ""0.25"": 0.7593419120458037, ""0.125"": 0.22764301105861126, ""0.0625"": 0.058363714857974716, ""0.03125"": 0.014637642079104255}","{""1"": 1.0078422784432588, ""0.5"": 0.5039211392216294, ""0.25"": 0.2519605696108147, ""0.125"": 0.12598028480540735, ""0.0625"": 0.06299014240270367, ""0.03125"": 0.03149507120135184}",1.291158355927596,0.8829917504982303,"{""1"": 0.9376063672150872, ""0.5"": 1.304320809055267, ""0.25"": 0.7593217999096259, ""0.125"": 0.22763701041531992, ""0.0625"": 0.05836213006220503, ""0.03125"": 0.014637515243140341}","{""1"": 1.0078422784432588, ""0.5"": 0.5039211392216294, ""0.25"": 0.2519605696108147, ""0.125"": 0.12598028480540735, ""0.0625"": 0.06299014240270367, ""0.03125"": 0.03149507120135184}",9.9
