condition,trace_fraction,depth,seed,step,free_answer_acc,gamma_hat,eps_rule_hat,rule_recovery,credit_mean,credit_max,state_on_set_mass,delta_comp_tv,delta_comp_gold,product_answer_acc,model_answer_acc,answer_on_set_mass,exponent_target,exponent_fit_conditional,exponent_r2_conditional,credit_by_lambda_conditional,eps_by_lambda_conditional,exponent_fit_proportional,exponent_r2_proportional,credit_by_lambda_proportional,eps_by_lambda_proportional,probe_seconds
both,,4,2001,0,0.0,0.18921692811711893,0.015488909831897324,0.0625,0.8909851540678093,17.6131327261958,8.683958267670582e-06,0.2841692937411429,0.033429576071241626,0.0475,0.0825,5.710504933304631e-06,3,,,,,,,,,7.0
both,,4,2001,250,0.1225,0.11521679974305465,0.7209364393570755,0.29447115384615385,0.9374778568841754,13.319040415305503,0.9710451392532046,0.15983390563462355,0.024560186178992156,0.0625,0.1175,0.9617047751790431,3,,,,,,,,,5.4
both,,4,2001,500,0.1425,0.1127838272948857,0.9237617013458193,0.31850961538461536,1.7332454843772658,32.36702767854348,0.9872391402437953,0.19694909906256935,0.030028488003339904,0.13,0.1475,0.9873286166173872,3,,,,,,,,,2.2
both,,4,2001,1000,0.1025,0.13075318279259485,1.0665525715665019,0.5901442307692307,3.085837330503438,385.96762999829997,0.99764626679527,0.23290602713626782,0.042237159998715815,0.13,0.115,0.9967995175635778,3,,,,,,,,,5.9
both,,4,2001,2000,0.245,0.13404072729269884,1.2654572263899144,0.8545673076923077,4.717792289123108,1091.7964040896918,0.9980478214267053,0.6882378864065282,0.39774015469038704,0.615,0.135,0.9993117092749131,3,,,,,,,,,7.1
both,,4,2001,4000,0.265,0.03992126517617469,1.0925795111098313,0.9987980769230769,0.9419367052427884,2.1729872543574693,0.9998856011491726,0.8810063564522486,0.8775260736561867,0.9975,0.1075,0.9998441958230739,3,,,,,,,,,6.8
both,,4,2001,6000,0.625,0.05201878507746223,1.1451432469335197,0.9987980769230769,0.9483385950270276,8.363018046823473,0.9998532096382533,0.8095933519530553,0.8068548786930001,0.9975,0.2675,0.9998080327100964,3,2.347974054568822,0.9496602846358377,"{""1"": 0.9467822226841967, ""0.5"": 0.967678691765355, ""0.25"": 0.22060245733332273, ""0.125"": 0.029074165859256797, ""0.0625"": 0.003646660448457256, ""0.03125"": 0.0004559297020509187}","{""1"": 1.1451432469335197, ""0.5"": 0.5725716234667598, ""0.25"": 0.2862858117333799, ""0.125"": 0.14314290586668996, ""0.0625"": 0.07157145293334498, ""0.03125"": 0.03578572646667249}",2.2811655274422273,0.9529144321338919,"{""1"": 0.9483385950270276, ""0.5"": 0.9678051746013849, ""0.25"": 0.220851281456598, ""0.125"": 0.029382212557062, ""0.0625"": 0.003884255406656405, ""0.03125"": 0.0006069597131395599}","{""1"": 1.1451432469335197, ""0.5"": 0.5725716234667598, ""0.25"": 0.2862858117333799, ""0.125"": 0.14314290586668996, ""0.0625"": 0.07157145293334498, ""0.03125"": 0.03578572646667249}",7.3
both,,4,2002,0,0.0,0.44717407208258025,0.019926507444186198,0.051682692307692304,4.603340207738448,77.36781741939056,7.802232705171909e-06,0.37029476852858,0.04459842362297936,0.06,0.08,2.2257297451330476e-06,3,,,,,,,,,7.5
both,,4,2002,250,0.1225,0.09467500021263152,0.6081233542799434,0.22596153846153846,0.605958789821635,5.244038155399037,0.9652563456818032,0.16522895620969563,0.026434238701699125,0.08,0.1275,0.9629536261668872,3,,,,,,,,,7.6
both,,4,2002,500,0.15,0.12218153650986077,0.8901759253522072,0.27524038461538464,1.4559645766419567,30.489871281513487,0.992284381026376,0.23196478159260592,0.036750027851019614,0.1225,0.13,0.9922394657875608,3,,,,,,,,,7.0
both,,4,2002,1000,0.13,0.09858046532091716,1.0397295398396267,0.5877403846153846,4.0531133089717635,174.26854327400747,0.9978135374596154,0.2501740991828396,0.04633598430696353,0.155,0.12,0.9977397003630009,3,,,,,,,,,6.4
both,,4,2002,2000,0.215,0.11115617101451673,1.2223906198736842,0.7067307692307693,3.3492653316948258,312.7519438199246,0.9984502673913384,0.4932902374457169,0.16144354450489934,0.3425,0.1425,0.9987060414605307,3,,,,,,,,,6.5
both,,4,2002,4000,0.8,0.056686146906399504,1.1795453841613615,0.9939903846153846,0.9548676367923431,2.3189644868933836,0.9996854892308076,0.8122485880903545,0.7954061917993207,0.9925,0.2225,0.9980891790428711,3,,,,,,,,,7.0
both,,4,2002,6000,0.615,0.01706303860396159,1.034331970653158,1.0,0.9397910336724502,1.2963351084614436,0.9998766735829788,0.7790340193156803,0.7781535747352949,1.0,0.285,0.9999052945251887,3,2.3470049606478898,0.9494255202996466,"{""1"": 0.9405731097494919, ""0.5"": 0.965911314949755, ""0.25"": 0.22020396122511512, ""0.125"": 0.029020410322024036, ""0.0625"": 0.0036399071951886113, ""0.03125"": 0.00045508527965832323}","{""1"": 1.034331970653158, ""0.5"": 0.517165985326579, ""0.25"": 0.2585829926632895, ""0.125"": 0.12929149633164475, ""0.0625"": 0.06464574816582237, ""0.03125"": 0.032322874082911186}",2.280603644719484,0.952569390061104,"{""1"": 0.9397910336724502, ""0.5"": 0.9661119569140217, ""0.25"": 0.2203948135553371, ""0.125"": 0.029248760975956058, ""0.0625"": 0.003866481481411188, ""0.03125"": 0.0006044581716912181}","{""1"": 1.034331970653158, ""0.5"": 0.517165985326579, ""0.25"": 0.2585829926632895, ""0.125"": 0.12929149633164475, ""0.0625"": 0.06464574816582237, ""0.03125"": 0.032322874082911186}",6.6
both,0.5,4,2003,0,0.0,0.33169403257362506,0.046043334140600495,0.0625,2.8302940224749102,172.40716890053886,2.665312617363427e-06,0.32558293629890867,0.044355833543776396,0.08,0.0775,1.1149652039023758e-06,3,,,,,,,,,7.7
both,0.5,4,2003,250,0.1275,0.079034205784156,0.5914613046748607,0.2548076923076923,0.5209887964193188,4.396317243321436,0.9618445952808211,0.18228326477126644,0.03023951462284223,0.09,0.1175,0.9564290160975801,3,,,,,,,,,5.7
both,0.5,4,2003,500,0.12,0.10181682459172746,0.8701325433176268,0.5649038461538461,1.5615769681227232,23.623400393230263,0.9889786801238544,0.22968069590133527,0.03349852928611588,0.1225,0.1025,0.9913902789813553,3,,,,,,,,,6.4
both,0.5,4,2003,1000,0.1375,0.11289639210687798,1.172148462125482,0.6057692307692307,5.033969250845748,170.78203102416433,0.9976444225113641,0.37598368594936304,0.08777991522797172,0.24,0.1275,0.9975814166989824,3,,,,,,,,,6.1
both,0.5,4,2003,2000,0.3525,0.1357768874780799,1.268573606018929,0.84375,2.1444980038992734,57.00434198053385,0.9992578292356906,0.6559306612371725,0.33206047447427234,0.5825,0.14,0.9988291722819025,3,,,,,,,,,7.1
