task,condition,rho,seed,step,transition_index,free_step_accuracy,first_error_rate,teacher_full_step_accuracy,teacher_state_accuracy,teacher_state_token_accuracy,teacher_state_nll
boolean_circuit_8,outcome,,2005,1000,1,,,0.0,0.0,0.125,6.37604347569868
boolean_circuit_8,outcome,,2005,1000,2,,,0.0,0.0,0.2021484375,5.721484770998359
boolean_circuit_8,outcome,,2005,1000,3,,,0.0,0.0,0.2529296875,3.9139813603833318
boolean_circuit_8,outcome,,2005,1000,4,,,0.0,0.0,0.24609375,4.095823498442769
boolean_circuit_8,outcome,,2005,1000,5,,,0.0,0.0,0.2431640625,4.298456802032888
boolean_circuit_8,outcome,,2005,1000,6,,,0.0,0.0,0.2431640625,4.095397494733334
boolean_circuit_8,outcome,,2005,1000,7,,,0.0,0.0,0.2841796875,3.742499595042318
boolean_circuit_8,outcome,,2005,1000,8,,,0.0,0.0,0.283203125,4.093973896000534
boolean_circuit_8,outcome,,2005,4000,1,,,0.0,0.0,0.1181640625,6.521127157844603
boolean_circuit_8,outcome,,2005,4000,2,,,0.0,0.0,0.12109375,6.063232113374397
boolean_circuit_8,outcome,,2005,4000,3,,,0.0,0.00390625,0.23828125,4.496419528499246
boolean_circuit_8,outcome,,2005,4000,4,,,0.0,0.00390625,0.189453125,4.906202041078359
boolean_circuit_8,outcome,,2005,4000,5,,,0.0,0.0,0.234375,4.585879464633763
boolean_circuit_8,outcome,,2005,4000,6,,,0.0,0.0,0.2099609375,4.292538586538285
boolean_circuit_8,outcome,,2005,4000,7,,,0.0,0.0,0.2490234375,3.720007709460333
boolean_circuit_8,outcome,,2005,4000,8,,,0.0,0.0,0.251953125,4.2146424683742225
boolean_circuit_8,outcome,,2005,8000,1,,,0.0,0.0,0.08984375,9.397403434850276
boolean_circuit_8,outcome,,2005,8000,2,,,0.0,0.00390625,0.0869140625,9.155321121448651
boolean_circuit_8,outcome,,2005,8000,3,,,0.0,0.00390625,0.212890625,6.087385896127671
boolean_circuit_8,outcome,,2005,8000,4,,,0.0,0.0,0.162109375,7.206457593245432
boolean_circuit_8,outcome,,2005,8000,5,,,0.0,0.00390625,0.2265625,6.584033345337957
boolean_circuit_8,outcome,,2005,8000,6,,,0.0,0.0,0.232421875,5.277343243360519
boolean_circuit_8,outcome,,2005,8000,7,,,0.0,0.00390625,0.3095703125,4.615190009353682
boolean_circuit_8,outcome,,2005,8000,8,,,0.0,0.0,0.2412109375,4.805294864112511
boolean_circuit_8,rho=0.0000,0.0,2005,1000,1,0.0415,0.9585,0.0703125,0.0859375,0.525390625,0.6911223714705557
boolean_circuit_8,rho=0.0000,0.0,2005,1000,2,0.013,0.038,0.01171875,0.0703125,0.505859375,0.6924137948080897
boolean_circuit_8,rho=0.0000,0.0,2005,1000,3,0.0075,0.0035,0.0078125,0.0859375,0.5205078125,0.6937494068406522
boolean_circuit_8,rho=0.0000,0.0,2005,1000,4,0.0035,0.0,0.0078125,0.109375,0.546875,0.6913630741182715
boolean_circuit_8,rho=0.0000,0.0,2005,1000,5,0.0075,0.0,0.01953125,0.05859375,0.533203125,0.6924971262924373
boolean_circuit_8,rho=0.0000,0.0,2005,1000,6,0.006,0.0,0.0,0.0546875,0.5234375,0.6924410227220505
boolean_circuit_8,rho=0.0000,0.0,2005,1000,7,0.003,0.0,0.00390625,0.0625,0.533203125,0.6956496776547283
boolean_circuit_8,rho=0.0000,0.0,2005,1000,8,0.006,0.0,0.01171875,0.07421875,0.521484375,0.7005967868026346
boolean_circuit_8,rho=0.0000,0.0,2005,4000,1,0.0595,0.9405,0.05078125,0.05078125,0.484375,0.6934263086877763
boolean_circuit_8,rho=0.0000,0.0,2005,4000,2,0.059,0.0575,0.05078125,0.05078125,0.47265625,0.6946945730596781
boolean_circuit_8,rho=0.0000,0.0,2005,4000,3,0.06,0.002,0.05078125,0.05078125,0.4501953125,0.6952584062237293
boolean_circuit_8,rho=0.0000,0.0,2005,4000,4,0.0635,0.0,0.05078125,0.05078125,0.4658203125,0.6943864456843585
boolean_circuit_8,rho=0.0000,0.0,2005,4000,5,0.0675,0.0,0.05859375,0.05859375,0.4072265625,0.6966508813202381
boolean_circuit_8,rho=0.0000,0.0,2005,4000,6,0.06,0.0,0.04296875,0.04296875,0.45703125,0.6948894499801099
boolean_circuit_8,rho=0.0000,0.0,2005,4000,7,0.0585,0.0,0.0390625,0.0390625,0.451171875,0.6951096847187728
boolean_circuit_8,rho=0.0000,0.0,2005,4000,8,0.079,0.0,0.0625,0.06640625,0.4921875,0.694148313254118
boolean_circuit_8,rho=0.0000,0.0,2005,8000,1,0.063,0.937,0.046875,0.046875,0.4775390625,0.6961871688254178
boolean_circuit_8,rho=0.0000,0.0,2005,8000,2,0.066,0.0445,0.06640625,0.06640625,0.482421875,0.6973603058140725
boolean_circuit_8,rho=0.0000,0.0,2005,8000,3,0.0585,0.0125,0.07421875,0.07421875,0.470703125,0.6988146887160838
boolean_circuit_8,rho=0.0000,0.0,2005,8000,4,0.06,0.0055,0.03515625,0.03515625,0.4658203125,0.6988240291830152
boolean_circuit_8,rho=0.0000,0.0,2005,8000,5,0.066,0.0,0.05859375,0.05859375,0.4736328125,0.6997717197518796
boolean_circuit_8,rho=0.0000,0.0,2005,8000,6,0.0625,0.0005,0.0625,0.0625,0.48828125,0.6978596176486462
boolean_circuit_8,rho=0.0000,0.0,2005,8000,7,0.06,0.0,0.046875,0.046875,0.478515625,0.6985855377279222
boolean_circuit_8,rho=0.0000,0.0,2005,8000,8,0.063,0.0,0.05078125,0.05078125,0.48828125,0.6977664695587009
boolean_circuit_8,rho=0.3000,0.3,2005,1000,1,0.0105,0.9895,0.015625,0.10546875,0.6142578125,0.6764377052895725
boolean_circuit_8,rho=0.3000,0.3,2005,1000,2,0.0215,0.0105,0.0390625,0.171875,0.640625,0.6706105791963637
boolean_circuit_8,rho=0.3000,0.3,2005,1000,3,0.01,0.0,0.015625,0.140625,0.625,0.6711083028931171
boolean_circuit_8,rho=0.3000,0.3,2005,1000,4,0.011,0.0,0.01171875,0.1328125,0.6279296875,0.6675647108349949
boolean_circuit_8,rho=0.3000,0.3,2005,1000,5,0.0095,0.0,0.0078125,0.12109375,0.609375,0.6685176618630067
boolean_circuit_8,rho=0.3000,0.3,2005,1000,6,0.0065,0.0,0.0078125,0.1328125,0.607421875,0.6704113556770608
boolean_circuit_8,rho=0.3000,0.3,2005,1000,7,0.0105,0.0,0.0078125,0.11328125,0.6123046875,0.6707414264092222
boolean_circuit_8,rho=0.3000,0.3,2005,1000,8,0.006,0.0,0.0,0.109375,0.5986328125,0.6717536409851164
boolean_circuit_8,rho=0.3000,0.3,2005,4000,1,0.18,0.82,0.2109375,0.2109375,0.7001953125,0.6481093126349151
boolean_circuit_8,rho=0.3000,0.3,2005,4000,2,0.1255,0.1135,0.1875,0.1875,0.6748046875,0.6456607966683805
boolean_circuit_8,rho=0.3000,0.3,2005,4000,3,0.0975,0.031,0.1640625,0.1640625,0.654296875,0.6472004607785493
boolean_circuit_8,rho=0.3000,0.3,2005,4000,4,0.0965,0.011,0.14453125,0.14453125,0.65625,0.6369249105919152
boolean_circuit_8,rho=0.3000,0.3,2005,4000,5,0.086,0.006,0.1484375,0.1484375,0.65625,0.6432005882670637
boolean_circuit_8,rho=0.3000,0.3,2005,4000,6,0.0825,0.005,0.15234375,0.15625,0.64453125,0.6442483165010344
boolean_circuit_8,rho=0.3000,0.3,2005,4000,7,0.0815,0.002,0.12890625,0.12890625,0.626953125,0.6476892981445417
boolean_circuit_8,rho=0.3000,0.3,2005,4000,8,0.0725,0.004,0.12890625,0.13671875,0.623046875,0.648448049032595
boolean_circuit_8,rho=0.3000,0.3,2005,8000,1,0.5015,0.4985,0.50390625,0.50390625,0.8486328125,0.5654017424676567
boolean_circuit_8,rho=0.3000,0.3,2005,8000,2,0.3125,0.2345,0.5,0.5078125,0.8525390625,0.4964337672863621
boolean_circuit_8,rho=0.3000,0.3,2005,8000,3,0.219,0.124,0.43359375,0.43359375,0.8232421875,0.47682906611589715
boolean_circuit_8,rho=0.3000,0.3,2005,8000,4,0.1685,0.063,0.421875,0.42578125,0.8125,0.4734771833536797
boolean_circuit_8,rho=0.3000,0.3,2005,8000,5,0.1225,0.0325,0.46875,0.46875,0.826171875,0.4708773998609104
boolean_circuit_8,rho=0.3000,0.3,2005,8000,6,0.0975,0.018,0.453125,0.453125,0.814453125,0.47603384383546654
boolean_circuit_8,rho=0.3000,0.3,2005,8000,7,0.0855,0.0105,0.41015625,0.41015625,0.7958984375,0.48329670678140246
boolean_circuit_8,rho=0.3000,0.3,2005,8000,8,0.0775,0.0075,0.3515625,0.3515625,0.7724609375,0.507622494995303
boolean_circuit_8,rho=0.5000,0.5,2005,1000,1,0.019,0.981,0.0234375,0.16796875,0.6513671875,0.6466145201120526
boolean_circuit_8,rho=0.5000,0.5,2005,1000,2,0.0175,0.0185,0.02734375,0.19140625,0.6669921875,0.651029075612314
boolean_circuit_8,rho=0.5000,0.5,2005,1000,3,0.011,0.0005,0.01171875,0.171875,0.6318359375,0.6590374001534656
boolean_circuit_8,rho=0.5000,0.5,2005,1000,4,0.013,0.0,0.0234375,0.13671875,0.646484375,0.6513765447307378
boolean_circuit_8,rho=0.5000,0.5,2005,1000,5,0.0115,0.0,0.0078125,0.12890625,0.6279296875,0.6525949698407203
boolean_circuit_8,rho=0.5000,0.5,2005,1000,6,0.007,0.0,0.00390625,0.13671875,0.6279296875,0.6576956508215517
boolean_circuit_8,rho=0.5000,0.5,2005,1000,7,0.0095,0.0,0.01953125,0.12890625,0.6181640625,0.6594719012500718
boolean_circuit_8,rho=0.5000,0.5,2005,1000,8,0.007,0.0,0.0,0.09765625,0.59375,0.6635120881255716
boolean_circuit_8,rho=0.5000,0.5,2005,4000,1,0.3755,0.6245,0.4453125,0.4453125,0.78125,0.5338136471109465
boolean_circuit_8,rho=0.5000,0.5,2005,4000,2,0.2285,0.199,0.41015625,0.41015625,0.80859375,0.4951002614252502
boolean_circuit_8,rho=0.5000,0.5,2005,4000,3,0.1445,0.0935,0.41796875,0.41796875,0.7958984375,0.49707420787308365
boolean_circuit_8,rho=0.5000,0.5,2005,4000,4,0.112,0.0445,0.3828125,0.3828125,0.7880859375,0.4984313730528811
boolean_circuit_8,rho=0.5000,0.5,2005,4000,5,0.096,0.0165,0.390625,0.39453125,0.798828125,0.4945116397284437
boolean_circuit_8,rho=0.5000,0.5,2005,4000,6,0.083,0.008,0.4609375,0.484375,0.8203125,0.48167274297156837
boolean_circuit_8,rho=0.5000,0.5,2005,4000,7,0.0795,0.0045,0.38671875,0.390625,0.791015625,0.5062554407631978
boolean_circuit_8,rho=0.5000,0.5,2005,4000,8,0.071,0.0045,0.34375,0.359375,0.7548828125,0.5283263961609919
boolean_circuit_8,rho=0.5000,0.5,2005,8000,1,0.7165,0.2835,0.7109375,0.7109375,0.916015625,0.3671329066855833
boolean_circuit_8,rho=0.5000,0.5,2005,8000,2,0.53,0.202,0.65625,0.66015625,0.90625,0.29249443487788085
boolean_circuit_8,rho=0.5000,0.5,2005,8000,3,0.403,0.1425,0.6875,0.69921875,0.919921875,0.26346436208768864
boolean_circuit_8,rho=0.5000,0.5,2005,8000,4,0.31,0.1095,0.67578125,0.6796875,0.91015625,0.27408642205318756
boolean_circuit_8,rho=0.5000,0.5,2005,8000,5,0.249,0.074,0.70703125,0.71875,0.91796875,0.26904096074736117
boolean_circuit_8,rho=0.5000,0.5,2005,8000,6,0.212,0.049,0.67578125,0.68359375,0.904296875,0.26797829600445766
boolean_circuit_8,rho=0.5000,0.5,2005,8000,7,0.174,0.0385,0.6328125,0.6328125,0.89453125,0.26855515393663154
boolean_circuit_8,rho=0.5000,0.5,2005,8000,8,0.1455,0.026,0.64453125,0.65234375,0.900390625,0.30021964331444906
boolean_circuit_8,rho=0.8000,0.8,2005,1000,1,0.064,0.936,0.07421875,0.20703125,0.697265625,0.5915044782450423
boolean_circuit_8,rho=0.8000,0.8,2005,1000,2,0.0325,0.0595,0.02734375,0.19140625,0.69140625,0.5965720412204973
boolean_circuit_8,rho=0.8000,0.8,2005,1000,3,0.0135,0.004,0.01953125,0.17578125,0.6591796875,0.6225845405715518
boolean_circuit_8,rho=0.8000,0.8,2005,1000,4,0.014,0.0005,0.0234375,0.1484375,0.642578125,0.6168421117181424
boolean_circuit_8,rho=0.8000,0.8,2005,1000,5,0.0105,0.0,0.0078125,0.12109375,0.65234375,0.6223665918514598
boolean_circuit_8,rho=0.8000,0.8,2005,1000,6,0.0075,0.0,0.01171875,0.15234375,0.6455078125,0.6335907409666106
boolean_circuit_8,rho=0.8000,0.8,2005,1000,7,0.011,0.0,0.01171875,0.14453125,0.650390625,0.625004318280844
boolean_circuit_8,rho=0.8000,0.8,2005,1000,8,0.006,0.0,0.00390625,0.11328125,0.6005859375,0.6629105076135602
boolean_circuit_8,rho=0.8000,0.8,2005,4000,1,0.6665,0.3335,0.671875,0.671875,0.912109375,0.252473018161254
boolean_circuit_8,rho=0.8000,0.8,2005,4000,2,0.4865,0.2105,0.6953125,0.6953125,0.91796875,0.24052042458060896
boolean_circuit_8,rho=0.8000,0.8,2005,4000,3,0.3565,0.144,0.66015625,0.66015625,0.9052734375,0.23599110648865462
boolean_circuit_8,rho=0.8000,0.8,2005,4000,4,0.278,0.0955,0.640625,0.640625,0.9013671875,0.24376090871010092
boolean_circuit_8,rho=0.8000,0.8,2005,4000,5,0.2275,0.0685,0.67578125,0.6796875,0.9140625,0.239062654938607
boolean_circuit_8,rho=0.8000,0.8,2005,4000,6,0.1815,0.0465,0.62890625,0.6328125,0.9013671875,0.2577006135361444
boolean_circuit_8,rho=0.8000,0.8,2005,4000,7,0.155,0.025,0.60546875,0.609375,0.88671875,0.2620214749567822
boolean_circuit_8,rho=0.8000,0.8,2005,4000,8,0.123,0.027,0.55859375,0.55859375,0.8740234375,0.30822560004708066
