task,condition,rho,seed,step,train_loss,answer_accuracy,exact_trace_accuracy,free_step_accuracy,colon_rate,mean_first_error,teacher_full_step_accuracy,teacher_state_accuracy,teacher_state_token_accuracy,teacher_state_nll,predicted_exact_trace_probability,gradient_alignment,gradient_cosine,clean_corrupt_cosine,clean_state_gradient_norm,training_gradient_norm,between_component_variance,projected_gradient_mean,projected_gradient_variance,clean_state_loss,diagnostic_training_loss
state_machine_16,outcome,,2001,1000,0.46378377079963684,0.076,,,1.0,,0.0,0.003173828125,0.0635986328125,3.137073368561687,0.0,0.00016646886069793254,0.006043519824743271,,7.4606709480285645,0.2055073380470276,,0.0012419893755577505,0.00018414578564997773,3.1358441710472107,0.46240587532520294
state_machine_16,outcome,,2001,2000,0.46389374136924744,0.059,,,1.0,,0.0,0.009033203125,0.1048583984375,3.1076114138704725,0.0,,,,,,,,,,
state_machine_16,outcome,,2001,4000,0.4632197916507721,0.057,,,1.0,,0.0,0.015380859375,0.1328125,2.8719417035463266,0.0,0.0007908194093033671,0.024028992280364037,,9.178441047668457,0.3020802140235901,,0.007258680881932378,0.0001682403069864534,2.865104615688324,0.4635642096400261
state_machine_16,outcome,,2001,6000,0.46218809485435486,0.058,,,1.0,,0.0,0.026123046875,0.18505859375,2.7679655276879203,0.0,,,,,,,,,,
state_machine_16,outcome,,2001,8000,0.46056607365608215,0.0585,,,1.0,,0.0,0.025634765625,0.2091064453125,3.1360446191974916,0.0,0.0005391563172452152,0.027033088728785515,,12.065705299377441,0.2406526505947113,,0.0065055834129452705,7.175641001498333e-05,3.1184253692626953,0.463015079498291
state_machine_16,rho=0.0000,0.0,2001,1000,0.46451836824417114,0.05,0.0,0.00590625,1.0,1.0755,0.0703125,0.0703125,0.3800048828125,1.3894471371313557,2.273609374760206e-19,0.2527197301387787,0.7717372179031372,0.758338212966919,0.3086797595024109,0.10108398646116257,0.0,0.0780102675780654,0.0005324945886464897,1.3897441029548645,0.46415936201810837
state_machine_16,rho=0.0000,0.0,2001,2000,0.4635259509086609,0.071,0.0,0.0043125,1.0,1.068,0.05908203125,0.05908203125,0.376708984375,1.3890519767592195,1.2993602149617978e-20,,,,,,,,,,
state_machine_16,rho=0.0000,0.0,2001,4000,0.46286842226982117,0.067,0.0,0.0043125,1.0,1.069,0.068359375,0.068359375,0.380859375,1.3870949341508094,9.301900583574311e-20,0.18306560814380646,0.503162145614624,0.49337103962898254,0.1765022724866867,0.06421703100204468,0.0,0.032311583403497934,0.0009139084196798225,1.3865447640419006,0.4623311832547188
state_machine_16,rho=0.0000,0.0,2001,6000,0.4630061089992523,0.06,0.0,0.00478125,1.0,1.0635,0.069580078125,0.069580078125,0.380859375,1.3867237977101468,2.3119964098008465e-19,,,,,,,,,,
state_machine_16,rho=0.0000,0.0,2001,8000,0.4627517759799957,0.0565,0.0,0.0053125,1.0,1.0635,0.0615234375,0.0615234375,0.3741455078125,1.3867245326400734,1.7443410720701282e-20,0.12162920087575912,0.5001623034477234,0.5001698732376099,0.20855796337127686,0.05071703717112541,0.0,0.025366749614477158,0.0009547871205811131,1.3873106837272644,0.46214400231838226
