depth,condition,metric,mean,sd,n,censored
2,outcome,final_answer,97.27,0.27577164466275395,5,
2,outcome_local,final_answer,98.75200000000001,0.5084977876058008,5,
2,process,final_answer,100.0,0.0,5,
4,outcome,final_answer,72.11,2.672835572944959,5,
4,outcome_local,final_answer,87.5,3.9449968314309203,5,
4,process,final_answer,100.0,0.0,5,
6,outcome,final_answer,12.812,1.9771115294793054,5,
6,outcome_local,final_answer,55.626000000000005,6.3342071327041385,5,
6,process,final_answer,100.0,0.0,5,
8,outcome,final_answer,6.25,0.0,4,
8,outcome_local,final_answer,20.314999999999998,2.301919488890377,4,
8,process,final_answer,100.0,0.0,4,
2,outcome,escape_0.1,1000,0.0,5,0
2,outcome_local,escape_0.1,1000,0.0,5,0
2,process,escape_0.1,1000,0.0,5,0
4,outcome,escape_0.1,1000,0.0,5,0
4,outcome_local,escape_0.1,1000,0.0,5,0
4,process,escape_0.1,1000,0.0,5,0
6,outcome,escape_0.1,2000,0.0,5,0
6,outcome_local,escape_0.1,1000,0.0,5,0
6,process,escape_0.1,1000,0.0,5,0
8,outcome,escape_0.1,nan,0.0,0,5
8,outcome_local,escape_0.1,1000,0.0,5,0
8,process,escape_0.1,2000,0.0,5,0
2,outcome,escape_0.25,1000,0.0,5,0
2,outcome_local,escape_0.25,1000,0.0,5,0
2,process,escape_0.25,1000,0.0,5,0
4,outcome,escape_0.25,1000,0.0,5,0
4,outcome_local,escape_0.25,1000,0.0,5,0
4,process,escape_0.25,1000,0.0,5,0
6,outcome,escape_0.25,nan,0.0,0,5
6,outcome_local,escape_0.25,2000,0.0,5,0
6,process,escape_0.25,1000,0.0,5,0
8,outcome,escape_0.25,nan,0.0,0,5
8,outcome_local,escape_0.25,nan,0.0,0,5
8,process,escape_0.25,2000,0.0,5,0
2,outcome,escape_0.5,1000,0.0,5,0
2,outcome_local,escape_0.5,1000,0.0,5,0
2,process,escape_0.5,1000,0.0,5,0
4,outcome,escape_0.5,2000,0.0,5,0
4,outcome_local,escape_0.5,2000,0.0,5,0
4,process,escape_0.5,2000,0.0,5,0
6,outcome,escape_0.5,nan,0.0,0,5
6,outcome_local,escape_0.5,4500.0,0.0,4,1
6,process,escape_0.5,2000,0.0,5,0
8,outcome,escape_0.5,nan,0.0,0,5
8,outcome_local,escape_0.5,nan,0.0,0,5
8,process,escape_0.5,2000,0.0,5,0
