model,layer,method,counterfactual_accuracy
oracle_outcome,0,oracle_slot,1.0
oracle_outcome,0,random_subspace,0.029296875
oracle_outcome,0,unstructured,0.0625
oracle_outcome,0,wrong_layer,0.5390625
oracle_outcome,0,probe_subspace,0.189453125
oracle_outcome,0,probe_wrong_layer,0.08984375
oracle_outcome,1,oracle_slot,1.0
oracle_outcome,1,random_subspace,0.041015625
oracle_outcome,1,unstructured,0.0625
oracle_outcome,1,wrong_layer,0.5390625
oracle_outcome,1,probe_subspace,0.16796875
oracle_outcome,1,probe_wrong_layer,0.154296875
