task,condition,rho,seed,step,train_loss,answer_accuracy,exact_trace_accuracy,free_step_accuracy,colon_rate,mean_first_error,teacher_full_step_accuracy,teacher_state_accuracy,teacher_state_token_accuracy,teacher_state_nll,predicted_exact_trace_probability,gradient_alignment,gradient_cosine,clean_corrupt_cosine,clean_state_gradient_norm,training_gradient_norm,between_component_variance,projected_gradient_mean,projected_gradient_variance,clean_state_loss,diagnostic_training_loss
boolean_circuit_8,outcome,,2005,1000,0.34848880767822266,0.0765,,,1.0,,0.0,0.0,0.2349853515625,4.542207611666527,0.0,0.00031637222855351865,0.012599572539329529,,18.121835708618164,0.45506325364112854,,0.00573359768895898,0.00013066839970887222,4.575326442718506,0.3475087732076645
boolean_circuit_8,outcome,,2005,4000,0.3437540531158447,0.0875,,,1.0,,0.0,0.0009765625,0.2015380859375,4.850006133725401,0.0,-0.00010089172428706661,-0.01623576320707798,,16.70079803466797,0.10378463566303253,,-0.001685024646576494,5.023248448190354e-05,4.864365816116333,0.34015996009111404
boolean_circuit_8,outcome,,2005,8000,0.3437841534614563,0.0965,,,1.0,,0.0,0.001953125,0.1951904296875,6.641053688479587,0.0,3.539913086569868e-05,0.014928730204701424,,27.305639266967773,0.06475064158439636,,0.0009666459227446467,1.1715675819945742e-05,6.710174798965454,0.3353847786784172
boolean_circuit_8,rho=0.0000,0.0,2005,1000,0.5704449415206909,0.0515,0.0,0.011,0.942,1.045,0.0166015625,0.0751953125,0.5262451171875,0.6937291575886775,0.0,0.6374604105949402,0.61615389585495,0.9102373123168945,0.29339101910591125,0.30354902148246765,0.0,0.18683366104960442,0.001382684089464778,0.693604901432991,0.5664180302240531
boolean_circuit_8,rho=0.0000,0.0,2005,4000,0.3123076558113098,0.068,0.0,0.063375,0.9995,1.0615,0.05078125,0.05126953125,0.4600830078125,0.6948205078660976,4.087498568783321e-11,0.20140691101551056,0.8704414963722229,0.8792861700057983,0.15217868983745575,0.03521186485886574,0.0,0.03060823166742921,0.003865173715361473,0.6949235051870346,0.31192600649978736
boolean_circuit_8,rho=0.0000,0.0,2005,8000,0.31063854694366455,0.061,0.0,0.062375,0.9995,1.0885,0.05517578125,0.05517578125,0.4781494140625,0.6981461921532173,7.080148967109068e-11,0.40300658345222473,0.9976286888122559,0.9980185031890869,0.6088029146194458,0.24593476951122284,0.0,0.24527457728981972,0.004679966654309184,0.69669409096241,0.31261840593031603
boolean_circuit_8,rho=0.3000,0.3,2005,1000,0.5887675285339355,0.067,0.0,0.0106875,0.929,1.0105,0.01318359375,0.12841796875,0.616943359375,0.6708931728935568,0.0,0.4438179135322571,0.2696234881877899,0.8936623334884644,0.1509242057800293,0.24843864142894745,0.004357753787189722,0.06688571069389582,0.0038545391166629524,0.6634505391120911,0.5843701484228244
boolean_circuit_8,rho=0.3000,0.3,2005,4000,0.309909850358963,0.077,0.0075,0.10275,0.999,1.3575,0.158203125,0.15966796875,0.654541015625,0.6451852165773744,3.524052522921317e-07,0.11874261498451233,0.5299392938613892,-0.12840721011161804,0.28167131543159485,0.06311465054750443,0.007075518369674683,0.033243825635872776,0.020098867616544103,0.6394369304180145,0.3058647166692825
boolean_circuit_8,rho=0.3000,0.3,2005,8000,0.28913527727127075,0.08,0.0115,0.1980625,0.9985,2.099,0.44287109375,0.4443359375,0.8182373046875,0.49374652558708476,0.0014115547750659374,0.08771012723445892,0.4063226878643036,-0.22926996648311615,1.0504122972488403,0.22675061225891113,0.08364390581846237,0.09216645173728466,0.06837823851210184,0.4868016615509987,0.2906962411829669
boolean_circuit_8,rho=0.5000,0.5,2005,1000,0.5869935750961304,0.07,0.0,0.0119375,0.934,1.0195,0.0146484375,0.14501953125,0.633056640625,0.6551665188308107,0.0,0.4127918481826782,0.3903345465660095,0.73921799659729,0.21413305401802063,0.2264566570520401,0.0076902033761143684,0.0887942990520969,0.016386607155809876,0.6454617232084274,0.5824867557247996
