task,condition,rho,seed,step,loss,answer_accuracy,exact_trace_accuracy,trace_step_accuracy,colon_rate
boolean_circuit_2,rho=0.50,0.5,2001,8000,0.17193245887756348,0.778,0.746,0.853,1.0
boolean_circuit_2,rho=0.50,0.5,2002,8000,0.1710384041070938,0.82,0.77,0.875,1.0
boolean_circuit_2,rho=0.50,0.5,2003,8000,0.18454010784626007,0.72,0.674,0.786,1.0
boolean_circuit_2,rho=0.70,0.7,2001,8000,0.13129279017448425,0.838,0.83,0.902,1.0
boolean_circuit_2,rho=0.70,0.7,2002,8000,0.1396179348230362,0.802,0.794,0.882,1.0
boolean_circuit_2,rho=0.70,0.7,2003,8000,0.1422705203294754,0.798,0.794,0.87,1.0
boolean_circuit_2,rho=0.80,0.8,2001,8000,0.10087838023900986,0.886,0.882,0.933,1.0
boolean_circuit_2,rho=0.80,0.8,2002,8000,0.09560661017894745,0.88,0.878,0.927,0.998
boolean_circuit_2,rho=0.80,0.8,2003,8000,0.11046913266181946,0.872,0.876,0.926,1.0
boolean_circuit_2,rho=0.90,0.9,2001,8000,0.06708052009344101,0.894,0.902,0.944,1.0
boolean_circuit_2,rho=0.90,0.9,2002,8000,0.059608787298202515,0.924,0.922,0.956,1.0
boolean_circuit_2,rho=0.90,0.9,2003,8000,0.06445286422967911,0.922,0.926,0.961,1.0
boolean_circuit_2,rho=1.00,1.0,2001,8000,0.005610900931060314,0.962,0.962,0.98,1.0
boolean_circuit_2,rho=1.00,1.0,2002,8000,0.0019162037642672658,0.972,0.972,0.985,1.0
boolean_circuit_2,rho=1.00,1.0,2003,8000,0.00033286926918663085,0.982,0.982,0.99,1.0
