model,task,condition,rho,realized_rho,seed,train_size,val_size,local_eval_size,steps,batch_size,full_finetune,trainable_parameters,trainable_fraction,loss,answer_accuracy,exact_trace_accuracy,exact_state_rollout_accuracy,free_step_accuracy,free_state_accuracy,free_gate_accuracy,local_state_accuracy,all_local_correct_rate,iid_local_prediction,local_tie_rate,mean_product_gold_prob16,min_margin_exact_corr,local_vs_free_state_agreement,adapter_path
HuggingFaceTB/SmolLM2-135M,boolean_circuit_8,outcome,,,2001,12000,300,,800,16,False,2442240,0.017832134010169365,0.34499473571777345,0.1,,,,,,,,,,,,,results/paper/smollm/artifacts/adapters/outcome/seed_2001
HuggingFaceTB/SmolLM2-135M,boolean_circuit_8,outcome,,,2002,12000,300,,800,16,False,2442240,0.017832134010169365,0.3451183607180913,0.09666666666666666,,,,,,,,,,,,,results/paper/smollm/artifacts/adapters/outcome/seed_2002
HuggingFaceTB/SmolLM2-135M,boolean_circuit_8,outcome,,,2003,12000,300,,800,16,False,2442240,0.017832134010169365,0.34539020160833994,0.1,,,,,,,,,,,,,results/paper/smollm/artifacts/adapters/outcome/seed_2003
HuggingFaceTB/SmolLM2-135M,boolean_circuit_8,answer_first,,,2001,12000,300,,800,16,False,2442240,0.017832134010169365,0.04235251757005851,0.09666666666666666,,,,,,,,,,,,,results/paper/smollm/artifacts/adapters/answer_first/seed_2001
HuggingFaceTB/SmolLM2-135M,boolean_circuit_8,answer_first,,,2002,12000,300,,800,16,False,2442240,0.017832134010169365,0.04165096220870813,0.09,,,,,,,,,,,,,results/paper/smollm/artifacts/adapters/answer_first/seed_2002
HuggingFaceTB/SmolLM2-135M,boolean_circuit_8,answer_first,,,2003,12000,300,,800,16,False,2442240,0.017832134010169365,0.04278193401793639,0.09333333333333334,,,,,,,,,,,,,results/paper/smollm/artifacts/adapters/answer_first/seed_2003
HuggingFaceTB/SmolLM2-135M,boolean_circuit_8,rho=0.00,0.0,0.0,2001,12000,300,300,800,16,False,2442240,0.017832134010169365,0.3473595201969147,0.11333333333333333,0.0,0.0,0.0675,0.0675,1.0,0.019583333333333335,0.0,2.163181349061518e-14,0.00375,1.1020820097484287e-10,nan,1.0,results/paper/smollm/artifacts/adapters/rho_0.00/seed_2001
HuggingFaceTB/SmolLM2-135M,boolean_circuit_8,rho=0.00,0.0,0.0,2002,12000,300,300,800,16,False,2442240,0.017832134010169365,0.34743221998214724,0.07333333333333333,0.0,0.0,0.06291666666666666,0.06291666666666666,1.0,0.015416666666666667,0.0,3.1909783589669148e-15,0.009583333333333333,1.0570431225332064e-10,nan,1.0,results/paper/smollm/artifacts/adapters/rho_0.00/seed_2002
HuggingFaceTB/SmolLM2-135M,boolean_circuit_8,rho=0.00,0.0,0.0,2003,12000,300,300,800,16,False,2442240,0.017832134010169365,0.34734339714050294,0.09333333333333334,0.0,0.0,0.06541666666666666,0.06541666666666666,1.0,0.015416666666666667,0.0,3.1909783589669148e-15,0.002916666666666667,1.1285046382517901e-10,nan,1.0,results/paper/smollm/artifacts/adapters/rho_0.00/seed_2003
HuggingFaceTB/SmolLM2-135M,boolean_circuit_8,rho=0.20,0.2,0.2,2001,12000,300,300,800,16,False,2442240,0.017832134010169365,0.3221203198035558,0.09666666666666666,0.02666666666666667,0.02666666666666667,0.1525,0.1525,0.9983333333333333,0.5145833333333333,0.03,0.004916383212645426,0.022083333333333333,0.0004993921312151148,0.21640535248534387,0.9766666666666667,results/paper/smollm/artifacts/adapters/rho_0.20/seed_2001
HuggingFaceTB/SmolLM2-135M,boolean_circuit_8,rho=0.20,0.2,0.2,2002,12000,300,300,800,16,False,2442240,0.017832134010169365,0.321856752038002,0.07333333333333333,0.023333333333333334,0.023333333333333334,0.12583333333333332,0.12583333333333332,0.9966666666666667,0.48791666666666667,0.023333333333333334,0.0032119237512083384,0.027916666666666666,0.000381557930946866,0.18677078728778607,0.9733333333333334,results/paper/smollm/artifacts/adapters/rho_0.20/seed_2002
HuggingFaceTB/SmolLM2-135M,boolean_circuit_8,rho=0.20,0.2,0.2,2003,12000,300,300,800,16,False,2442240,0.017832134010169365,0.32254342138767245,0.07666666666666666,0.016666666666666666,0.016666666666666666,0.13208333333333333,0.13208333333333333,0.9975,0.5041666666666667,0.013333333333333334,0.004174390071701534,0.015416666666666667,0.00048162836862264256,0.17676072454705927,0.9833333333333333,results/paper/smollm/artifacts/adapters/rho_0.20/seed_2003
HuggingFaceTB/SmolLM2-135M,boolean_circuit_8,rho=0.40,0.4,0.4,2001,12000,300,300,800,16,False,2442240,0.017832134010169365,0.23950066566467285,0.18333333333333332,0.13666666666666666,0.13666666666666666,0.34708333333333335,0.34708333333333335,1.0,0.7566666666666667,0.16666666666666666,0.10745752160155989,0.005416666666666667,0.018129223753808574,0.5450619986355248,0.95,results/paper/smollm/artifacts/adapters/rho_0.40/seed_2001
HuggingFaceTB/SmolLM2-135M,boolean_circuit_8,rho=0.40,0.4,0.4,2002,12000,300,300,800,16,False,2442240,0.017832134010169365,0.239781554043293,0.16,0.10666666666666667,0.10666666666666667,0.30875,0.30875,0.9975,0.7241666666666666,0.09333333333333334,0.07563246293321564,0.008333333333333333,0.011108791723862128,0.4271992799784739,0.92,results/paper/smollm/artifacts/adapters/rho_0.40/seed_2002
HuggingFaceTB/SmolLM2-135M,boolean_circuit_8,rho=0.40,0.4,0.4,2003,12000,300,300,800,16,False,2442240,0.017832134010169365,0.24108093629280727,0.18333333333333332,0.13333333333333333,0.13333333333333333,0.34375,0.34375,0.99625,0.7566666666666667,0.15666666666666668,0.10745752160155989,0.006666666666666667,0.022022899191374134,0.5032563067670873,0.9433333333333334,results/paper/smollm/artifacts/adapters/rho_0.40/seed_2003
HuggingFaceTB/SmolLM2-135M,boolean_circuit_8,rho=0.50,0.5,0.5,2001,12000,300,300,800,16,False,2442240,0.017832134010169365,0.20370324874917667,0.2833333333333333,0.24,0.24,0.45458333333333334,0.455,0.9945833333333334,0.8325,0.27,0.23071399394404551,0.0016666666666666668,0.058269665694924484,0.4922565179370414,0.91,results/paper/smollm/artifacts/adapters/rho_0.50/seed_2001
HuggingFaceTB/SmolLM2-135M,boolean_circuit_8,rho=0.50,0.5,0.5,2002,12000,300,300,800,16,False,2442240,0.017832134010169365,0.20338317627708116,0.29,0.24333333333333335,0.24333333333333335,0.44125,0.44125,0.9966666666666667,0.8258333333333333,0.27666666666666667,0.21634121652892357,0.002916666666666667,0.04340222771755101,0.5791422028790573,0.8733333333333333,results/paper/smollm/artifacts/adapters/rho_0.50/seed_2002
HuggingFaceTB/SmolLM2-135M,boolean_circuit_8,rho=0.50,0.5,0.5,2003,12000,300,300,800,16,False,2442240,0.017832134010169365,0.20740144848823547,0.2733333333333333,0.23,0.23,0.4666666666666667,0.46708333333333335,0.99875,0.81625,0.24,0.197054135770015,0.002916666666666667,0.053941133420975736,0.6307581056686806,0.9233333333333333,results/paper/smollm/artifacts/adapters/rho_0.50/seed_2003
HuggingFaceTB/SmolLM2-135M,boolean_circuit_8,rho=0.60,0.6,0.6,2001,12000,300,300,800,16,False,2442240,0.017832134010169365,0.1718297965824604,0.37333333333333335,0.3466666666666667,0.3466666666666667,0.5425,0.54375,0.99125,0.87875,0.37,0.35556802890231953,0.0033333333333333335,0.1036216817229459,0.6485319998129769,0.8766666666666667,results/paper/smollm/artifacts/adapters/rho_0.60/seed_2001
HuggingFaceTB/SmolLM2-135M,boolean_circuit_8,rho=0.60,0.6,0.6,2002,12000,300,300,800,16,False,2442240,0.017832134010169365,0.1709717055161794,0.4533333333333333,0.4266666666666667,0.4266666666666667,0.6070833333333333,0.6075,0.9970833333333333,0.8966666666666666,0.45,0.4178767441332309,0.0020833333333333333,0.10975015415257507,0.6966600582267514,0.8633333333333333,results/paper/smollm/artifacts/adapters/rho_0.60/seed_2002
HuggingFaceTB/SmolLM2-135M,boolean_circuit_8,rho=0.60,0.6,0.6,2003,12000,300,300,800,16,False,2442240,0.017832134010169365,0.17067698240280152,0.4033333333333333,0.37,0.37,0.57,0.5741666666666667,0.9895833333333334,0.8833333333333333,0.39666666666666667,0.370678121733545,0.0,0.13740568061745023,0.6832592231515298,0.8933333333333333,results/paper/smollm/artifacts/adapters/rho_0.60/seed_2003
HuggingFaceTB/SmolLM2-135M,boolean_circuit_8,rho=0.80,0.8,0.8,2001,12000,300,300,800,16,False,2442240,0.017832134010169365,0.09035582741101583,0.7433333333333333,0.74,0.74,0.8108333333333333,0.8108333333333333,0.9975,0.9645833333333333,0.73,0.7494074896136651,0.0008333333333333334,0.3590207717234372,0.709182090007088,0.9166666666666666,results/paper/smollm/artifacts/adapters/rho_0.80/seed_2001
HuggingFaceTB/SmolLM2-135M,boolean_circuit_8,rho=0.80,0.8,0.8,2002,12000,300,300,800,16,False,2442240,0.017832134010169365,0.08954577020679912,0.8033333333333333,0.7866666666666666,0.7866666666666666,0.8525,0.8529166666666667,0.995,0.975,0.8166666666666667,0.8166518036622619,0.0008333333333333334,0.5564103773107615,0.6763172049111147,0.9433333333333334,results/paper/smollm/artifacts/adapters/rho_0.80/seed_2002
HuggingFaceTB/SmolLM2-135M,boolean_circuit_8,rho=0.80,0.8,0.8,2003,12000,300,300,800,16,False,2442240,0.017832134010169365,0.08987039296577375,0.7733333333333333,0.7566666666666667,0.7566666666666667,0.82125,0.8229166666666666,0.9966666666666667,0.9708333333333333,0.78,0.7891461362733599,0.0008333333333333334,0.44440641849715423,0.6808923429037288,0.91,results/paper/smollm/artifacts/adapters/rho_0.80/seed_2003
HuggingFaceTB/SmolLM2-135M,boolean_circuit_8,rho=1.00,1.0,1.0,2001,12000,300,300,800,16,False,2442240,0.017832134010169365,0.002836359889867405,0.94,0.9366666666666666,0.9366666666666666,0.94875,0.9491666666666667,0.9975,0.9929166666666667,0.9433333333333334,0.9447184674677223,0.0004166666666666667,0.9003807459935045,0.5181745260436624,0.9866666666666667,results/paper/smollm/artifacts/adapters/rho_1.00/seed_2001
HuggingFaceTB/SmolLM2-135M,boolean_circuit_8,rho=1.00,1.0,1.0,2002,12000,300,300,800,16,False,2442240,0.017832134010169365,0.005237189552281052,0.9066666666666666,0.9066666666666666,0.9066666666666666,0.9295833333333333,0.93,0.995,0.9904166666666666,0.9233333333333333,0.9258561594149758,0.0,0.8712169694899247,0.5174336222359206,0.9833333333333333,results/paper/smollm/artifacts/adapters/rho_1.00/seed_2002
HuggingFaceTB/SmolLM2-135M,boolean_circuit_8,rho=1.00,1.0,1.0,2003,12000,300,300,800,16,False,2442240,0.017832134010169365,0.005389934650156647,0.8433333333333334,0.84,0.85,0.8841666666666667,0.8845833333333334,0.9970833333333333,0.97875,0.86,0.8421204241446146,0.0004166666666666667,0.8000455675759746,0.6570537519876043,0.9833333333333333,results/paper/smollm/artifacts/adapters/rho_1.00/seed_2003
