condition,step,depth,seed,model,layer,method,counterfactual_accuracy
outcome,80,2,42,outcome,0,oracle_slot,0.1875
outcome,80,2,42,outcome,0,random_subspace,0.1875
outcome,80,2,42,outcome,0,unstructured,0.1875
outcome,80,2,42,outcome,0,wrong_layer,0.1875
outcome,80,2,42,outcome,0,probe_subspace,0.0625
outcome,80,2,42,outcome,0,probe_wrong_layer,0.3125
outcome,80,2,42,outcome,1,oracle_slot,0.0
outcome,80,2,42,outcome,1,random_subspace,0.0
outcome,80,2,42,outcome,1,unstructured,0.0
outcome,80,2,42,outcome,1,wrong_layer,0.0
outcome,80,2,42,outcome,1,probe_subspace,0.0
outcome,80,2,42,outcome,1,probe_wrong_layer,0.1875
outcome_local,80,2,42,outcome_local,0,oracle_slot,0.0625
outcome_local,80,2,42,outcome_local,0,random_subspace,0.0625
outcome_local,80,2,42,outcome_local,0,unstructured,0.125
outcome_local,80,2,42,outcome_local,0,wrong_layer,0.125
outcome_local,80,2,42,outcome_local,0,probe_subspace,0.125
outcome_local,80,2,42,outcome_local,0,probe_wrong_layer,0.0625
outcome_local,80,2,42,outcome_local,1,oracle_slot,0.125
outcome_local,80,2,42,outcome_local,1,random_subspace,0.1875
outcome_local,80,2,42,outcome_local,1,unstructured,0.1875
outcome_local,80,2,42,outcome_local,1,wrong_layer,0.125
outcome_local,80,2,42,outcome_local,1,probe_subspace,0.125
outcome_local,80,2,42,outcome_local,1,probe_wrong_layer,0.125
