condition,step,depth,seed,layer,cosine,C_t,term_grad_norm,local_grad_norm,note
outcome,0,2,42,0,-0.03308137506246567,-0.0008564096060581505,0.09938403218984604,3.838972806930542,C_t vs D only; not an eps^{D-1} claim
outcome,0,2,42,1,-0.10751499235630035,-0.004091539885848761,0.09852419048547745,2.5889389514923096,C_t vs D only; not an eps^{D-1} claim
outcome_local,0,2,42,0,-0.03441493213176727,-0.0008967653848230839,0.09938403218984604,3.8140058517456055,C_t vs D only; not an eps^{D-1} claim
outcome_local,0,2,42,1,-0.1173301488161087,-0.0045098052360117435,0.09852419048547745,2.5632472038269043,C_t vs D only; not an eps^{D-1} claim
outcome,15,2,42,0,0.01403750665485859,0.0003754307108465582,0.33584848046302795,12.55724811553955,C_t vs D only; not an eps^{D-1} claim
outcome,15,2,42,1,0.4439402222633362,0.0027287378907203674,0.2803984582424164,45.61784362792969,C_t vs D only; not an eps^{D-1} claim
outcome_local,15,2,42,0,-0.7568607926368713,-0.008228115737438202,0.13936829566955566,12.819472312927246,C_t vs D only; not an eps^{D-1} claim
outcome_local,15,2,42,1,-0.32373911142349243,-0.0015003500739112496,0.1745077222585678,37.65411376953125,C_t vs D only; not an eps^{D-1} claim
outcome,30,2,42,0,-0.09375138580799103,-0.004525549244135618,0.18403010070323944,3.812324047088623,C_t vs D only; not an eps^{D-1} claim
outcome,30,2,42,1,-0.1361587643623352,-0.0009441183065064251,0.42964649200439453,61.96171188354492,C_t vs D only; not an eps^{D-1} claim
outcome_local,30,2,42,0,-0.5709860920906067,-0.020700523629784584,0.13237126171588898,3.65118145942688,C_t vs D only; not an eps^{D-1} claim
outcome_local,30,2,42,1,-0.35305076837539673,-0.006332749500870705,0.24786622822284698,13.818404197692871,C_t vs D only; not an eps^{D-1} claim
