experiment,task,condition,variant,ratio,seed,steps,batch_size,n_samples,data_seed,order_seed,free_acc,forced_acc,forced_wrong_acc,answer_nll,answer_tf_acc,no_answer_rate,truncation_rate,train_loss,seconds,uid,config_hash
phase,multiply,A,full,0.0,10,200,64,50000,100,0,0.0,0.0,0.0,2.1557451952799616,0.0,0.0,0.0,1.855435448884964,4.5,b8e2a1bcd5ff2568,5fb4c72a7339
phase,multiply,A,full,0.0,1337,200,64,50000,100,0,0.001,0.0,0.0,2.1501364686100843,0.0,0.0,0.0,1.8594631373882293,3.2,d7d9c457cfa9b8f9,5fb4c72a7339
phase,multiply,A,full,0.0,2003,200,64,50000,100,0,0.0,0.0,0.0,2.121836238481362,0.0,0.0,0.0,1.8510285377502442,3.2,5e0266ede2f0f9f0,5fb4c72a7339
phase,multiply,A,full,0.0,2026,200,64,50000,100,0,0.0,0.0,0.0,2.142540858219882,0.0,0.0,0.0,1.8435150921344756,3.3,2f966cb40f8a0f7d,5fb4c72a7339
phase,multiply,A,full,0.0,2200,200,64,50000,100,0,0.002,0.001,0.001,2.115398643712906,0.001,0.0,0.0,1.84771688580513,3.0,c95db6c331a0b98e,5fb4c72a7339
phase,multiply,A,full,0.05,10,200,64,50000,100,0,0.0,0.0,0.0,2.152045259868935,0.0,0.0,0.0,1.854217028617859,3.1,3509c8205f3855a7,5fb4c72a7339
phase,multiply,A,full,0.05,1337,200,64,50000,100,0,0.001,0.0,0.0,2.147065238523662,0.0,0.0,0.0,1.858323884010315,3.2,294d3a02895a407a,5fb4c72a7339
phase,multiply,A,full,0.05,2003,200,64,50000,100,0,0.0,0.0,0.0,2.118577708506872,0.0,0.0,0.0,1.8495858669281007,3.4,d397c0b2c08b73e6,5fb4c72a7339
phase,multiply,A,full,0.05,2026,200,64,50000,100,0,0.0,0.0,0.0,2.138493218157799,0.0,0.0,0.0,1.84223170876503,3.2,4a84f0c29b207ea1,5fb4c72a7339
phase,multiply,A,full,0.05,2200,200,64,50000,100,0,0.001,0.001,0.001,2.111573892551281,0.001,0.0,0.0,1.84694402217865,3.0,738e70b3f7c8a522,5fb4c72a7339
phase,multiply,A,full,0.1,10,200,64,50000,100,0,0.0,0.0,0.0,2.147907782971288,0.0,0.0,0.0,1.8521717548370362,3.1,de9573523700e403,5fb4c72a7339
phase,multiply,A,full,0.1,1337,200,64,50000,100,0,0.0,0.0,0.0,2.144147498763536,0.0,0.0,0.0,1.8563141405582428,3.1,5bddcf914f67e495,5fb4c72a7339
phase,multiply,A,full,0.1,2003,200,64,50000,100,0,0.0,0.0,0.0,2.1157269777729333,0.0,0.0,0.0,1.8479297459125519,3.0,3871fbb2e67cdd38,5fb4c72a7339
phase,multiply,A,full,0.1,2026,200,64,50000,100,0,0.0,0.0,0.0,2.1358701045788213,0.0,0.0,0.0,1.8395858824253082,2.9,f29858f10304915e,5fb4c72a7339
phase,multiply,A,full,0.1,2200,200,64,50000,100,0,0.001,0.001,0.001,2.1085284390781185,0.001,0.0,0.0,1.8449574887752533,3.0,29f8a836b58bc43b,5fb4c72a7339
phase,multiply,A,full,0.15,10,200,64,50000,100,0,0.0,0.0,0.0,2.1449436758121614,0.0,0.0,0.0,1.850635004043579,3.1,b8e719b46a0f7a8b,5fb4c72a7339
phase,multiply,A,full,0.15,1337,200,64,50000,100,0,0.001,0.0,0.0,2.140881495096444,0.0,0.0,0.0,1.8548959612846374,3.3,fcdd1fdb795640be,5fb4c72a7339
phase,multiply,A,full,0.15,2003,200,64,50000,100,0,0.001,0.0,0.0,2.112846555634371,0.0,0.0,0.0,1.846359372138977,3.1,43721faa757ba6ee,5fb4c72a7339
phase,multiply,A,full,0.15,2026,200,64,50000,100,0,0.0,0.0,0.0,2.1336286068955643,0.0,0.0,0.0,1.8375094652175903,3.1,55ce307efe590653,5fb4c72a7339
phase,multiply,A,full,0.15,2200,200,64,50000,100,0,0.001,0.001,0.001,2.1052984819964338,0.001,0.0,0.0,1.8436748683452606,3.2,c1fb74343dcbfa03,5fb4c72a7339
