task,condition,rho,seed,step,loss,answer_accuracy,exact_trace_accuracy,trace_step_accuracy,colon_rate
boolean_circuit_8,outcome,,2001,8000,0.34204593300819397,0.0855,,,1.0
boolean_circuit_8,outcome,,2002,8000,0.34044086933135986,0.099,,,1.0
boolean_circuit_8,outcome,,2020,8000,0.34130436182022095,0.086,,,1.0
boolean_circuit_8,outcome,,3000,8000,0.3401604890823364,0.102,,,1.0
boolean_circuit_8,outcome,,2026,8000,0.3419352173805237,0.0915,,,1.0
boolean_circuit_8,rho=0.30,0.3,2001,8000,0.22382965683937073,0.9915,0.992,0.9936875,0.9995
boolean_circuit_8,rho=0.30,0.3,2002,8000,0.22803078591823578,0.9925,0.9925,0.9953125,0.999
boolean_circuit_8,rho=0.30,0.3,2020,8000,0.224501833319664,0.894,0.8915,0.9525,0.999
boolean_circuit_8,rho=0.30,0.3,3000,8000,0.2285369485616684,0.9765,0.9745,0.9805625,0.9995
boolean_circuit_8,rho=0.30,0.3,2026,8000,0.2283860146999359,0.97,0.968,0.9829375,0.999
boolean_circuit_8,rho=0.50,0.5,2001,8000,0.1716192662715912,0.994,0.9935,0.9969375,0.9995
boolean_circuit_8,rho=0.50,0.5,2002,8000,0.16729576885700226,0.9865,0.987,0.99275,1.0
boolean_circuit_8,rho=0.50,0.5,2020,8000,0.16688263416290283,0.9955,0.995,0.997875,1.0
