task,condition,rho,seed,step,loss,answer_accuracy,exact_trace_accuracy,trace_step_accuracy,colon_rate
boolean_circuit_8,outcome,,1000,8000,0.3432115912437439,0.082,,,1.0
boolean_circuit_8,outcome,,1200,8000,0.3406197428703308,0.091,,,1.0
boolean_circuit_8,outcome,,1400,8000,0.3408352732658386,0.094,,,1.0
boolean_circuit_8,outcome,,1600,8000,0.3425276279449463,0.0835,,,1.0
boolean_circuit_8,outcome,,1800,8000,0.34002283215522766,0.0865,,,1.0
boolean_circuit_8,rho=0.10,0.1,1000,8000,0.31051114201545715,0.066,0.0025,0.071875,0.999
boolean_circuit_8,rho=0.10,0.1,1200,8000,0.31020843982696533,0.067,0.0,0.06275,0.999
boolean_circuit_8,rho=0.10,0.1,1400,8000,0.3111381530761719,0.064,0.0035,0.076375,0.9995
boolean_circuit_8,rho=0.10,0.1,1600,8000,0.3102932572364807,0.069,0.003,0.0743125,0.9995
boolean_circuit_8,rho=0.10,0.1,1800,8000,0.3108213543891907,0.064,0.003,0.075125,0.998
boolean_circuit_8,rho=0.30,0.3,1000,8000,0.28991827368736267,0.0855,0.0165,0.20875,0.999
boolean_circuit_8,rho=0.30,0.3,1200,8000,0.29261651635169983,0.065,0.01,0.1993125,0.9995
boolean_circuit_8,rho=0.30,0.3,1400,8000,0.2872171401977539,0.0885,0.019,0.2365625,0.9995
boolean_circuit_8,rho=0.30,0.3,1600,8000,0.2811541259288788,0.0815,0.0155,0.218375,0.9985
boolean_circuit_8,rho=0.30,0.3,1800,8000,0.30087512731552124,0.0755,0.006,0.1174375,0.993
boolean_circuit_8,rho=0.50,0.5,1000,8000,0.21859794855117798,0.2835,0.2235,0.4928125,0.999
boolean_circuit_8,rho=0.50,0.5,1200,8000,0.22931556403636932,0.2205,0.158,0.44875,0.9995
boolean_circuit_8,rho=0.50,0.5,1400,8000,0.22734065353870392,0.231,0.163,0.4425625,0.9985
boolean_circuit_8,rho=0.50,0.5,1600,8000,0.23483604192733765,0.1695,0.096,0.3743125,0.9995
boolean_circuit_8,rho=0.50,0.5,1800,8000,0.27253031730651855,0.107,0.035,0.2856875,0.998
boolean_circuit_8,rho=0.60,0.6,1000,8000,0.18916232883930206,0.342,0.3025,0.5691875,1.0
boolean_circuit_8,rho=0.60,0.6,1200,8000,0.19356060028076172,0.376,0.3395,0.6218125,0.9995
boolean_circuit_8,rho=0.60,0.6,1400,8000,0.18047963082790375,0.4065,0.3795,0.6226875,0.9995
boolean_circuit_8,rho=0.60,0.6,1600,8000,0.2021508812904358,0.2755,0.215,0.5229375,1.0
boolean_circuit_8,rho=0.60,0.6,1800,8000,0.2039136439561844,0.198,0.119,0.4044375,0.998
boolean_circuit_8,rho=0.80,0.8,1000,8000,0.10582996904850006,0.704,0.69,0.83675,1.0
boolean_circuit_8,rho=0.80,0.8,1200,8000,0.12089195847511292,0.7045,0.681,0.8571875,0.9995
boolean_circuit_8,rho=0.80,0.8,1400,8000,0.090279720723629,0.8175,0.8165,0.9165625,0.999
boolean_circuit_8,rho=0.80,0.8,1600,8000,0.12331826239824295,0.659,0.6435,0.8365,0.9995
boolean_circuit_8,rho=0.80,0.8,1800,8000,0.0990305170416832,0.6705,0.652,0.84975,0.9995
boolean_circuit_8,rho=0.90,0.9,1000,8000,0.07013723999261856,0.874,0.8705,0.9494375,1.0
boolean_circuit_8,rho=0.90,0.9,1200,8000,0.06175272539258003,0.89,0.885,0.9591875,0.9995
boolean_circuit_8,rho=0.90,0.9,1400,8000,0.058766547590494156,0.9045,0.9035,0.9620625,0.9995
boolean_circuit_8,rho=0.90,0.9,1600,8000,0.05577465519309044,0.8375,0.834,0.9331875,0.9995
boolean_circuit_8,rho=0.90,0.9,1800,8000,0.07131277769804001,0.7845,0.765,0.901375,1.0
boolean_circuit_8,rho=1.00,1.0,1000,8000,0.004459425341337919,0.945,0.9385,0.9805,0.9985
boolean_circuit_8,rho=1.00,1.0,1200,8000,0.003791517112404108,0.9305,0.917,0.981375,0.9995
boolean_circuit_8,rho=1.00,1.0,1400,8000,0.0028352057561278343,0.9265,0.9235,0.9733125,0.9995
boolean_circuit_8,rho=1.00,1.0,1600,8000,0.0034180274233222008,0.9225,0.9205,0.9715,1.0
boolean_circuit_8,rho=1.00,1.0,1800,8000,0.00841995794326067,0.841,0.8285,0.9280625,1.0
