task,condition,rho,seed,step,loss,answer_accuracy,exact_trace_accuracy,trace_step_accuracy,colon_rate
register_machine_16,outcome,,2001,8000,0.47468301653862,0.056,,,1.0
register_machine_16,outcome,,2002,8000,0.47380802035331726,0.0615,,,1.0
register_machine_16,outcome,,2003,8000,0.4753592908382416,0.056,,,1.0
register_machine_16,rho=0.00,0.0,2001,8000,0.9168277978897095,0.0635,0.0,0.00340625,1.0
register_machine_16,rho=0.00,0.0,2002,8000,0.916507363319397,0.0625,0.0,0.00359375,1.0
register_machine_16,rho=0.00,0.0,2003,8000,0.9167462587356567,0.0665,0.0,0.0040625,1.0
register_machine_16,rho=0.10,0.1,2001,8000,0.8648956418037415,0.077,0.004,0.0789375,1.0
register_machine_16,rho=0.10,0.1,2002,8000,0.871238112449646,0.0745,0.001,0.06896875,0.9995
register_machine_16,rho=0.10,0.1,2003,8000,0.865092396736145,0.0905,0.0125,0.0815,1.0
register_machine_16,rho=0.20,0.2,2001,8000,0.7893268465995789,0.3375,0.247,0.4573125,1.0
register_machine_16,rho=0.20,0.2,2002,8000,0.7861499190330505,0.3755,0.2805,0.51184375,1.0
register_machine_16,rho=0.20,0.2,2003,8000,0.7879753708839417,0.309,0.22,0.4280625,1.0
register_machine_16,rho=0.30,0.3,2001,8000,0.6701774001121521,0.6945,0.652,0.7820625,1.0
register_machine_16,rho=0.30,0.3,2002,8000,0.6662236452102661,0.591,0.5415,0.71296875,1.0
register_machine_16,rho=0.30,0.3,2003,8000,0.6665858626365662,0.645,0.604,0.72778125,1.0
register_machine_16,rho=0.40,0.4,2001,8000,0.5847015380859375,0.8875,0.866,0.91615625,1.0
register_machine_16,rho=0.40,0.4,2002,8000,0.5852717161178589,0.907,0.901,0.92421875,1.0
register_machine_16,rho=0.40,0.4,2003,8000,0.5835252404212952,0.8635,0.849,0.89584375,1.0
register_machine_16,rho=0.50,0.5,2001,8000,0.4934122562408447,0.957,0.95,0.96509375,1.0
register_machine_16,rho=0.50,0.5,2002,8000,0.49610692262649536,0.961,0.9575,0.9619375,1.0
register_machine_16,rho=0.50,0.5,2003,8000,0.4869159758090973,0.9325,0.924,0.95728125,1.0
register_machine_16,rho=0.60,0.6,2001,8000,0.3938167691230774,0.974,0.9715,0.984125,1.0
register_machine_16,rho=0.60,0.6,2002,8000,0.3966130316257477,0.988,0.9875,0.9915625,1.0
register_machine_16,rho=0.60,0.6,2003,8000,0.3902709186077118,0.975,0.973,0.98175,1.0
register_machine_16,rho=0.80,0.8,2001,8000,0.1832529902458191,0.996,0.9955,0.9976875,1.0
register_machine_16,rho=0.80,0.8,2002,8000,0.18570564687252045,0.99,0.9865,0.99190625,1.0
register_machine_16,rho=0.80,0.8,2003,8000,0.18477359414100647,0.994,0.9915,0.99478125,1.0
register_machine_16,rho=0.90,0.9,2001,8000,0.08686357736587524,0.997,0.9965,0.99909375,1.0
register_machine_16,rho=0.90,0.9,2002,8000,0.08663588762283325,0.9985,0.998,0.99884375,1.0
register_machine_16,rho=0.90,0.9,2003,8000,0.08632875233888626,0.996,0.996,0.9978125,1.0
register_machine_16,rho=1.00,1.0,2001,8000,7.338455179706216e-05,0.998,0.9975,0.99878125,1.0
register_machine_16,rho=1.00,1.0,2002,8000,9.640010830480605e-06,1.0,1.0,1.0,1.0
register_machine_16,rho=1.00,1.0,2003,8000,1.2464127394196112e-05,1.0,1.0,1.0,1.0
