task,condition,rho,seed,step,loss,answer_accuracy,exact_trace_accuracy,trace_step_accuracy,colon_rate
state_machine_16,outcome,,2001,8000,0.46100354194641113,0.0555,,,1.0
state_machine_16,rho=0.83,0.83,2001,8000,0.20835086703300476,0.0645,0.0035,0.1355625,1.0
state_machine_16,rho=0.84,0.84,2001,8000,0.15123511850833893,0.999,0.999,0.9993125,1.0
state_machine_16,rho=0.85,0.85,2001,8000,0.17963121831417084,0.069,0.0085,0.1798125,1.0
state_machine_16,rho=0.86,0.86,2001,8000,0.17675697803497314,0.0655,0.0025,0.13646875,1.0
state_machine_16,rho=0.87,0.87,2001,8000,0.10868487507104874,1.0,1.0,1.0,1.0
state_machine_16,rho=0.88,0.88,2001,8000,0.10247351974248886,0.9995,1.0,1.0,1.0
state_machine_16,rho=0.90,0.9,2001,8000,0.08975398540496826,1.0,1.0,1.0,1.0
state_machine_16,rho=0.95,0.95,2001,8000,0.023753196001052856,0.998,0.998,0.99871875,1.0
state_machine_16,rho=1.00,1.0,2001,8000,2.0561894416459836e-05,1.0,1.0,1.0,1.0
